root,meaning,sample 1,sample 2,sample 3,sample 4,sample 5
rhod,"rose, red (紅色)",rhododendron (杜鵑花),rhodium (銠),rhodopsin (視紫質),rhodite (紅金),rhodonite (薔薇輝石)
rid,laugh (笑),ridicule (嘲笑),ridiculous (荒唐的),deride (嘲弄),ridibility (可笑性),ridicule (嘲笑)
rupt,break (破),rupture (破裂),corrupt (貪污的),erupt (爆發),interrupt (中斷),bankrupt (破產)
san,health (健康),sanitary (衛生的),sanity (神智清醒),sanitize (消毒),sanitarium (療養院),insane (瘋狂的)
scend,climb (爬),ascend (上升),descend (下降),transcend (超越),scending (縱搖),descendant (後裔)
schol,"leisure, school (學校)",scholar (學者),scholastic (學校的),scholarship (獎學金),scholium (註解),schooling (學校教育)
sci,know (知道),science (科學),conscience (良心),conscious (有意識的),omniscient (全知的),prescient (預見的)
scler,hard (硬),sclerosis (硬化症),scleroderma (硬皮病),sclerotic (硬化的),sclerotomy (鞏膜切開),sclerometer (硬度計)
scop,"look, see (看)",telescope (望遠鏡),microscope (顯微鏡),horoscope (占星),scope (範圍),periscope (潛望鏡)
scrib,write (寫),describe (描述),prescribe (開處方),inscribe (題字),transcribe (抄錄),subscribe (訂閱)
script,write (寫),script (劇本),manuscript (手稿),description (描述),transcript (成績單),postscript (附言)
se,apart (分開),separate (分開的),select (選擇),seclude (使隔離),segregate (隔離),secede (脫離)
sect,cut (切),section (區域),dissect (解剖),insect (昆蟲),bisect (平分),sector (扇區)
sens,feel (感覺),sense (感官),sensitive (敏感的),sensory (感官的),sensation (感覺),consensus (共識)
sent,feel (感覺),sentiment (情緒),sentence (句子),consent (同意),resent (憤恨),assent (同意)
serv,"keep, serve (保存，服務)",serve (服務),servant (僕人),preserve (保存),reserve (預約),observe (觀察)
simil,like (相似),similar (相似的),assimilate (同化),facsimile (傳真),simile (明喻),similitude (相似)
simul,like (模仿),simulate (模擬),simultaneous (同時的),simulator (模擬器),simulacrum (像),dissimulate (掩飾)
sit,food (食物),parasite (寄生蟲),sitology (飲食學),sitophobia (進食恐懼),sitotherapy (飲食療法),sitomania (貪食症)
sol,"sun, alone (太陽，單獨)",solar (太陽的),solo (單獨的),solitary (孤獨的),solstice (冬/夏至),solitude (孤獨)
somn,sleep (睡眠),somnolent (想睡的),insomnia (失眠),somnambulist (夢遊者),somniferous (催眠的),somniloquy (夢話)
son,sound (聲音),sonar (聲納),sonic (音速的),consonant (輔音),resonate (共鳴),unison (齊唱)
soph,wise (智慧),sophisticated (老練的),philosophy (哲學),sophomore (二年級生),sophistry (詭辯),sophist (詭辯家)
spec,look (看),spectacle (壯觀),spectacular (引人入勝的),speculate (推測),specimen (樣本),spect (預期)
sphere,"ball, circle (球體)",sphere (球體),atmosphere (大氣),hemisphere (半球),biosphere (生物圈),spherical (球狀的)
spic,look (看),conspicuous (顯眼的),despicable (卑劣的),auspicious (吉祥的),perspicacity (洞察力),spicule (骨針)
spir,breathe (呼吸),spirit (精神),inspire (啟發),respire (呼吸),conspire (陰謀),aspire (嚮往)
sta,stand (站立),station (車站),standard (標準),status (狀態),statue (雕像),stability (穩定性)
stell,star (星星),stellar (星的),constellation (星座),stellate (星狀的),interstellar (星際的),stelliform (星形的)
struct,build (建造),structure (結構),construct (建造),destruct (破壞),instruct (指導),obstruct (阻塞)
sum,"take, highest (拿，最高)",summit (山頂),assume (假設),resume (恢復),consume (消耗),presume (假定)
tact,touch (接觸),tactile (觸覺的),contact (接觸),intact (完好無損),tactful (機智的),tactility (觸覺)
tain,hold (握住),contain (包含),retain (保留),maintain (維持),obtain (獲得),detain (拘留)
tang,touch (接觸),tangent (切線),tangible (有形的),tangerine (橘子),tangency (接觸),tangential (正切的)
tax,arrangement (排列),taxonomy (分類學),taxi (計程車),syntax (語法),taxidermy (標本製作),ataxia (運動失調)
techn,skill (技術),technique (技巧),technology (科技),technical (技術性的),technician (技術人員),polytechnic (理工學院)
tele,far (遠),telephone (電話),television (電視),telescope (望遠鏡),telepathy (感應),telegram (電報)
tellur,"earth, land (土地，地球)",tellurian (地球人),telluric (地球的),tellurium (碲),tellurist (地球研究者),tellurion (地球儀)
temp,time (時間),tempo (節奏),temporary (暫時的),contemporary (當代的),temporal (世俗的/時間的),tempest (暴風雨)
ten,"hold, stretch (握住，伸展)",tenant (房客),tenure (任期),tendency (傾向),extend (延伸),pretend (偽裝)
termin,end (界限),terminal (終點的),terminate (終止),determine (決定),exterminate (根除),terminology (術語)
terr,"earth, land (土地，地)",terrain (地形),territory (領土),terrace (梯田),exterrestrial (外星的),mediterranean (地中海的)
test,witness (證人，證明),testimony (證詞),testify (作證),attest (證實),testament (遺囑),detest (厭惡)
tetra,four (四),tetrahedron (四面體),tetrapod (四足動物),tetralogy (四部曲),tetravalent (四價的),tetrachord (四弦)
the,god (神),theology (神學),atheist (無神論者),monotheism (一神教),polytheism (多神教),theocracy (神權政治)
therm,heat (熱),thermometer (溫度計),thermal (熱的),thermostat (恆溫器),hypothermia (低體溫),isotherm (等溫線)
tin,hold (握住),continue (繼續),retinue (隨從),pertinent (相關的),continent (洲/克制的),abstinence (節制)
ton,"thunder, stretch (雷鳴，張力)",tonitrus (雷聲),astonish (大吃一驚),stun (使昏迷),detonate (引爆),intonation (語調)
tort,twist (扭曲),torture (折磨),distort (扭曲),retort (反駁),extort (勒索),contort (扭曲)
tox,poison (毒),toxic (有毒的),toxin (毒素),detoxify (解毒),intoxicate (使陶醉),toxicology (毒理學)
tract,"draw, pull (拉，抽)",tractor (牽引機),attract (吸引),extract (提取),contract (合約),distract (分心)
troph,nourishment (營養),atrophy (萎縮),hypertrophy (肥大),dystrophy (營養不良),autotroph (自養生物),heterotroph (異養生物)
tut,"guard, teach (守護，教導)",tutor (導師),tutorial (輔導的),tutelage (指導),tutelary (守護的),intution (直覺)
ultim,"last, end (最後)",ultimate (最終的),ultimatum (最後通牒),penultimate (倒數第二),ultimately (最後),ultimity (終極)
urb,city (城市),urban (城市的),suburb (郊區),exurb (遠郊),urbane (溫文爾雅的),urbanization (城市化)
vac,empty (空的),vacant (空的),vacation (假期),vacuum (真空),evacuate (撤離),vacuity (空虛)
val,"strong, worth (強，價值)",value (價值),valid (有效的),equivalent (相等的),valient (英勇的),prevalent (盛行的)
ven,come (來),convene (召開),advent (出現),revenue (稅收),prevent (預防),intervene (干預)
vent,come (來),event (事件),prevent (預防),invent (發明),adventure (冒險),convention (慣例)
ver,true (真實的),verdict (判決),verify (證實),veracious (誠實的),verisimilitude (逼真),veracity (真實性)
verb,word (詞語),verb (動詞),verbal (口頭的),verbose (囉唆的),proverb (諺語),adverb (副詞)
vers,turn (轉),reverse (反轉),adverse (不利的),universe (宇宙),diverse (多樣的),converse (相反的)
vert,turn (轉),divert (轉向),convert (轉變),vertical (垂直的),introvert (內向者),extrovert (外向者)
vict,conquer (征服),victory (勝利),victim (受害者),victorious (勝利的),convict (定罪),evict (驅逐)
vid,see (看),video (影像),evident (明顯的),provide (提供),divide (劃分),videography (錄像)
vinc,conquer (征服),invincible (無敵的),convince (說服),evince (表明),vincible (易征服的),province (省份)
vindic,"claim, avenge (聲張，復仇)",vindicate (澄清),vindictive (報復性的),vindication (辯白),vindicable (可辯護的),revindicate (索還)
vis,see (看),vision (視力),visible (可見的),visit (拜訪),revise (修訂),advise (建議)
vit,"live, life (活，生命)",vital (至關重要的),vitamin (維生素),vitality (活力),revitalize (復興),vitals (重要器官)
viv,"live, life (活，生命)",vivid (生動的),revive (復活),survive (生存),convivial (歡樂的),vivisection (活體解剖)
voc,"voice, call (聲音，呼叫)",vocal (聲音的),vocation (職業),advocate (倡導),equivocal (模稜兩可的),vocabulary (詞彙)
vok,"voice, call (呼喊)",evoke (喚起),provoke (挑釁),invoke (求助),revoke (廢除),convoke (召集)
vol,"wish, will (願望，意志)",volunteer (志工),voluntary (自願的),benevolent (仁慈的),malevolent (惡毒的),volition (意志)
vor,eat (吃),voracious (貪吃的),omnivore (雜食動物),carnivore (肉食動物),herbivore (草食動物),insectivore (食蟲動物)
vour,eat (吃),devour (吞食),savour (品嚐),vouring (吞噬的),voured (被吞噬的),devourer (吞噬者)
xen,stranger (陌生人，外來),xenon (氙),xenophobia (仇外),xenophile (喜愛外國事物者),xenocryst (捕獲晶),xenogeny (異型發生)
xer,dry (乾燥),xerox (影印),xeriscape (耐旱景觀),xeroderma (皮膚乾燥症),xerophagy (食乾物),xerophilous (喜乾的)
zo,animal (動物),zoology (動物學),zoo (動物園),zodiac (十二星座),zoonosis (人畜共通病),zooplankton (浮游動物)
