chapter,subchapter,word,pos,meaning,english sentence,chinese sentence
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,bill of lading,n.,提貨單,The bill of lading lists the port of loading and destination.,提單上載明裝運港與目的港。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,commodity,n.,商品:農產品,Coffee is one of the most traded commodities worldwide.,咖啡是全球交易量很大的商品之一。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,consignee,n.,收件人:受託人,The consignee must inspect the goods upon arrival.,收貨人必須在貨到時驗貨。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,consumer,n.,消費者:顧客,Consumer demand has shifted toward eco-friendly products.,消費者需求轉向環保產品。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,contractor,n.,立契約人;承包商,We hired a local contractor to handle warehouse setup.,我們聘請當地承包商協助倉庫建置。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,cost-effective,adj.,符合成本效益的,This packaging method is cost-effective for bulk exports.,這種包裝方式對大量出口來說很划算。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,dealer,n.,商人;業者,The dealer distributes our products to retailers in the region.,經銷商把我們的產品配銷到該區零售商。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,due,adj./n./adv.,應付的;到期的;該發生的,The balance is due before we release the shipment.,我們放行出貨前，款項必須付清。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,forward,v./adj./adv.,"送到,轉號",I’ll forward the shipping documents to your logistics team.,我會把出貨文件轉寄給你們的物流團隊。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,headquarters,n.,總公司;總部;司令部,Our headquarters in Taipei oversees all Asia-Pacific orders.,台北總部統籌所有亞太區訂單。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,inventory,n./v.,詳細目錄;清單:存貨,We need to reduce inventory to avoid overstock.,我們需要降低庫存以避免囤貨。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,letter of credit,n.,信用狀,The buyer opened a letter of credit to guarantee payment.,買方開立信用狀以擔保付款。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,order,n./v.,匯單;訂貨;訂單;匯票,Please confirm the order quantity and delivery date.,請確認訂購數量與交貨日期。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,patent,n./v./adj.,專利;取得...的專利,The company filed a patent to protect its new technology.,公司申請專利以保護新技術。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,quota,n.,定量;定額;配額,The government imposed an import quota on sugar.,政府對進口糖設定配額限制。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,shipment,n.,一批貨,The shipment was delayed because of port congestion.,貨運因港口壅塞而延誤。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,surplus,n./adj.,(1)過剩的量;盈餘(2)過剩的;剩餘的,We currently have a surplus of units in the warehouse.,我們目前在倉庫有庫存盈餘。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,trademark,n./v.,注冊商標,The trademark is registered in multiple countries.,這個商標已在多國完成註冊。
商務與對外發展 / Business & External Development,貿易與國際商務 / Trade & International Business,warehouse,n./v.,倉庫:貨價;大商店,All goods are stored in a bonded warehouse before clearance.,所有貨物在通關前都存放於保稅倉庫。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",adjourn,v.,暫時;休會;延期,Let’s adjourn the meeting and continue this discussion tomorrow.,我們先休會，明天再繼續討論。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",agreement,n.,同意;協定,We finally reached an agreement on the pricing terms.,我們終於就價格條款達成協議。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",amendment,n.,修正,An amendment was added to the contract after the last round of talks.,在上一輪談判後，合約新增了一項修正條款。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",approval,n.,贊成:同意,The proposal needs final approval from the board.,這份提案需要董事會的最終核准。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",attentive,adj.,注意的;留心的專心的,Please be attentive during the safety briefing.,請在安全說明時專心聆聽。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",board,n./v.,理事會;委員會;董事會,The board will review the partnership plan next week.,董事會將於下週審查合作計畫。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",brainstorm,v./n.,"腦力激蕩,集思廣益",We’ll brainstorm ideas for the new campaign at 3 p.m.,我們下午三點一起腦力激盪新活動點子。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",concede,v.,容忍;容許;讓步,The supplier refused to concede on the delivery date.,供應商不願在交期上讓步。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",conference,n.,會議;協商;討論會,We attended an international conference on digital learning.,我們參加了一場數位學習的國際研討會。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",convention,n.,慣例;常規;習俗;會議;大會,The annual convention brings together partners from around the world.,年度大會將全球合作夥伴聚集一堂。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",convince,v.,使信服,Her data was convincing enough to support the proposal.,她的數據很有說服力，足以支持提案。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",cross-reference,n./v.,前後參照;(使)前後參照,Please cross-reference these figures with last quarter’s report.,請把這些數字與上季報告交叉比對。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",delegate,n./v.,代表,We will delegate the follow-up tasks to each department.,後續任務會分派給各部門負責。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",demand,n./v.,要求:強求,The client’s demand for a refund was rejected.,客戶要求退款的訴求被拒絕。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",dispute,n./v.,爭端;爭執;糾紛,A dispute arose over who should cover the shipping cost.,雙方因運費由誰負擔而產生爭議。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",negotiation,n.,協商;談判,The negotiation will focus on payment terms and warranty.,談判將聚焦在付款條件與保固內容。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",persuade,v.,說服;勸服,We tried to persuade them to extend the contract.,我們試著說服對方延長合約。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",postpone,v.,延遲;延期,We had to postpone the meeting because the manager was abroad.,因主管出差，我們必須延後會議。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",reconcile,v.,調和;調解,Both sides agreed to reconcile their differences.,雙方同意化解歧見。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",comply,v.,遵守；服從（常接 with）,All staff must comply with the company’s data security policy.,所有員工都必須遵守公司的資料安全政策。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",exemption,n.,豁免；免除（尤指稅款）,You may apply for a tax exemption if the equipment is for research use.,如果設備是研究用途，你可以申請免稅。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",negotiate,v.,談判；協商,We will negotiate the contract terms with the supplier next week.,我們下週會和供應商協商合約條款。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",settlement,n.,協議;支付,The settlement was confirmed in writing last Friday.,和解協議已於上週五以書面確認。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",agenda,n.,議程,The agenda has been sent to all participants.,議程已寄給所有與會者。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",alternative,n./adj.,可供選擇的事物、方式等,We should consider an alternative supplier in case of delays.,為避免延誤，我們應考慮替代供應商。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",announce,v.,通告;宣佈;宣告;公諸於眾,They will announce the decision after the vote.,表決後他們會公布決定。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",articulate,adj./v.,能清楚有力表達思想感情的;表達能力強的,She articulated her concerns clearly during the meeting.,她在會議中清楚表達她的疑慮。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",attorney,n.,律師,Our attorney reviewed the contract before signing.,簽約前，我們的律師已審閱合約。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",breakthrough,n.,突破;重大進展,This workaround led to a major breakthrough in the project.,這個替代方案讓專案出現重大突破。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",compromise,n./v.,妥協;折衷;和解,We offered a compromise to move the deal forward.,我們提出折衷方案以推進交易。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",conclusive,adj.,決定性的;勿庸置疑的,The audit report is conclusive and leaves no doubt.,稽核報告結論明確，沒有疑義。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",consensus,n.,一致的意見;共識,"After long discussion, we reached a consensus.",經過長時間討論，我們達成共識。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",converse,v./n./adj.,談話;交談,We can converse in English if that’s easier for you.,如果你覺得方便，我們可以用英文交流。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",criterion,n.,規範;標準,"Cost, quality, and delivery time are our main criteria.",成本、品質與交期是我們的主要評估標準。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",decline,n./v.,衰落;衰退;下降,They declined our invitation to join the partnership.,他們婉拒了加入合作的邀請。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",demonstration,n.,示範;實證;(遊行)示威,The demonstration showed how the system works in real time.,這場示範展示了系統即時運作方式。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",diplomacy,n.,外交手腕;交際手段,Diplomacy is essential when negotiating with multiple parties.,與多方談判時，外交手腕非常重要。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",dissuade,v.,勸阻,He tried to dissuade us from lowering the price.,他試圖勸我們不要降價。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",on behalf of,phr.,代表,I’m speaking on behalf of the marketing team today.,我今天代表行銷團隊發言。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",petition,n./v.,請願(書);請願,Employees submitted a petition to request better benefits.,員工提交請願書，希望改善福利。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",premise,n./v.,前提,Your argument is based on a false premise.,你的論點建立在錯誤的前提上。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",seminar,n.,研討會;討論課;講習會,We’re hosting a seminar on cross-border compliance.,我們將舉辦一場跨境法規遵循的研討會。
商務與對外發展 / Business & External Development,"會議、談判與合作推進 / Meetings, Negotiation & Partnership Advancement",statement,n.,聲明;陳述,Please prepare a brief statement for the press.,請準備一份給媒體的簡短聲明。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,advance,n./v.,前進;進展,The company made a major advance in battery technology last year.,公司去年在電池技術上取得重大進展。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,capacity,n.,容量;才能;能力,This server has enough capacity to store all project files.,這台伺服器有足夠容量存放所有專案檔案。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,component,n./adj.,構成要素:成分;零件,A faulty component caused the printer to stop working.,印表機因零件故障而停止運作。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,device,n.,裝置;設備;圖案;設計,Please turn off the device before replacing the battery.,更換電池前請先關閉裝置。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,engineer,n./v.,工程師,An engineer will check the air-conditioning system this afternoon.,今天下午會有工程師來檢查空調系統。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,facilitate,v.,促進;使(更)容易,The new software should facilitate faster data processing.,新軟體應能促進更快速的資料處理。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,fuel,n./v.,燃料,The backup generator runs on diesel fuel.,備用發電機使用柴油燃料運轉。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,generator,n.,發電機;產生器,The generator started automatically during the power outage.,停電時發電機自動啟動。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,innovative,adj.,創新;革新的,They introduced an innovative design to reduce energy use.,他們採用創新設計以降低能源消耗。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,inventor,n.,發明家,The inventor filed a patent for the new sensor.,發明家為新感測器申請了專利。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,leading edge,n.,居領先優勢的,Our R&D team is working on leading-edge medical equipment.,研發團隊正在開發尖端醫療設備。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,malfunction,n./v.,"故障;發生故障,機能失常",The machine malfunctioned after continuous use.,機器連續使用後發生故障。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,mode,n.,樣式;模式;方式;風尚:時尚,Switch the monitor to sleep mode when not in use.,不使用時請把螢幕切到睡眠模式。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,operate,v.,操作;運轉;經營,Technicians will operate the equipment during the test run.,測試運轉時將由技術人員操作設備。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,outlet,n.,出口;排水口;銷售店;商行;插座;銷路,There aren’t enough outlets in this room for all the laptops.,這間教室插座不夠讓所有筆電使用。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,portable,adj./n.,可攜帶的;輕便的,The portable scanner is useful for field inspections.,這台可攜式掃描器很適合外勤檢查。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,raw material,n.,原料,The factory imports raw materials from Korea.,這家工廠從韓國進口原料。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,satellite,n./adj.,衛星,The satellite transmitted weather data every hour.,衛星每小時傳回一次氣象資料。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,specification,n.,說明;詳述,Please check the specification before ordering the parts.,下單零件前請先確認規格。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,automaton,n.,自動操作裝置;機器人,The automaton can assemble small parts without human help.,這台自動機器能在無人協助下組裝小零件。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,cell(ular)phone,n.,行動電話;手機,I left my cell phone on the desk during the meeting.,我開會時把手機放在桌上。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,consecutive,adj.,連續的;連貫的,The device shut down after three consecutive errors.,設備連續三次出錯後自動關機。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,devise,v.,設計;發明;策劃,We need to devise a safer process for handling chemicals.,我們需要設計更安全的化學品操作流程。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,equipment,n.,裝備;設備,All necessary equipment has been delivered to the site.,所有必要設備都已送達現場。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,facility,n.,便利的設施;設備,The new facility will include a testing center and warehouse.,新設施將包含測試中心與倉庫。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,gadget,n.,小巧的機械裝置;小玩意,This gadget can measure temperature and humidity at once.,這個小裝置可以同時量測溫度與濕度。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,hands-on,adj.,實地操作的;親身體驗的,We offer hands-on training for new operators.,我們提供給新操作員實作訓練。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,inspect,v.,檢查;審查;視察,Inspect the cables for damage before powering on.,通電前請先檢查線材是否破損。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,laboratory,n.,實驗室,Samples are analyzed in the laboratory upstairs.,樣本會送到樓上的實驗室分析。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,maintenance,n.,維護:保養,Regular maintenance helps prevent unexpected breakdowns.,定期保養有助避免突發故障。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,manual,n./adj.,"使用手冊,指南;手工的",Please follow the manual when installing the software.,安裝軟體時請依照使用手冊操作。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,network,n./v.,網路系統;廣播、電視網:電腦網,The network was upgraded to support more users.,網路已升級以支援更多使用者。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,outage,n.,電力中斷;斷電,There was a brief outage caused by a router failure.,路由器故障造成短暫斷線。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,petroleum,n.,石油,Petroleum prices affect the cost of transportation.,石油價格會影響運輸成本。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,procedure,n.,程式:手續,Follow the safety procedure before entering the lab.,進入實驗室前請先依安全程序操作。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,reverse,adj./v./n.,相反的;顛倒的,You can reverse the image by clicking this button.,點這個按鈕可以將影像反轉。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,solar,adj.,(源自)太陽的;依太陽而運行的,The rooftop solar panels supply electricity for the office.,屋頂太陽能板為辦公室供電。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,static,n./adj.,靜電干擾;靜止的;靜態的;靜電的,Static electricity may damage sensitive components.,靜電可能損壞精密零件。
科技與資訊應用 / Technology & Information Applications,科技設備與硬體 / Tech Equipment & Hardware,turn down,phr. v.,關小(聲),Please turn down the machine if it makes unusual noise.,如果機器出現異音，請先把轉速調低。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,access,n./v.,進入;接近;使用;取得,You need a password to access the shared drive.,你需要密碼才能存取共用雲端硬碟。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,automatically,adv.,無意識的;不自覺的;自動的,The file is automatically backed up every night.,檔案每天晚上會自動備份。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,cable,n./v.,纜線:電纜,Make sure the cable is securely connected to the router.,請確認網路線已牢固連接到路由器。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,compliance,n.,順從;服從;附和;屈從,All users must follow compliance rules for data security.,所有使用者都必須遵守資料安全的合規規範。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,cutting edge,n./adj.,尖刻;尖銳;先鋒地位尖端的,This company is known for its cutting-edge software solutions.,這家公司以尖端的軟體解決方案聞名。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,delete,v.,刪除,Please delete the duplicate file to save storage space.,請刪除重複檔案以節省儲存空間。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,digital,adj.,數位的;數字顯示的,All documents are stored in a digital format.,所有文件都以數位格式保存。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,download,v./n.,下載,You can download the update from the official website.,你可以從官方網站下載更新檔。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,hacker,n.,"熱衷電腦的人,駭客",A hacker attempted to break into our system last week.,上週有駭客試圖入侵我們的系統。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,input,v./n.,輸入電腦,Please input your employee ID to log in.,請輸入員工編號登入。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,Internet,n.,國際互聯網,Most of our meetings are held through the Internet now.,我們現在大多透過網路開會。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,laptop,n.,筆記型電腦,He brought his laptop to the presentation.,他帶著筆電來參加簡報。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,multimedia,n./adj.,多媒體,The training includes multimedia materials and videos.,這堂訓練課包含多媒體教材與影片。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,retrieval,n.,取回;恢復,Quick retrieval of files improves office efficiency.,快速檢索檔案能提升辦公效率。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,searchi engine,n.,搜尋引擎,Use a search engine to find the user manual.,請用搜尋引擎查找使用手冊。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,shut down,phr. v.,使關閉;使停業,Remember to shut down your computer before leaving.,離開前記得把電腦關機。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,state-of-the-art,adj.,使用最先進技術的;達到最高水準的,Our IT team uses state-of-the-art encryption to protect customer data.,我們的資訊團隊使用最先進的加密技術來保護客戶資料。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,terminology,n.,專業術語;專有名詞,Please avoid technical terminology in emails to non-specialists.,寄給非專業同仁的郵件請避免使用太多技術術語。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,troubleshooting,n./adj.,檢修;解決困難的,The manual includes basic troubleshooting tips for common errors.,使用手冊包含處理常見錯誤的基本故障排除方法。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,up-to-date,adj.,最近的;最新的,Make sure your antivirus software is up-to-date before you log in.,登入前請確認你的防毒軟體已是最新版本。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,activate,v.,使活動;觸發;啟動,You need to activate your account before accessing the portal.,你必須先啟用帳號才能進入平台。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,browse,v.,流覽:隨便翻閱,You can browse the shared folder to find the latest template.,你可以瀏覽共用資料夾來找最新的範本。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,command,n./v.,指令;命令;掌握,Run this command to restart the server safely.,請執行這個指令以安全地重新啟動伺服器。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,configuration,n.,結構:構造;配置,Incorrect configuration may cause the network to disconnect.,設定不正確可能會導致網路斷線。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,database,n.,資料庫,All customer data is stored in a secure database.,所有客戶資料都存放在安全的資料庫中。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,desktop,adj./n.,桌上型的,She prefers a desktop for heavy design work.,她做大量設計工作時偏好使用桌上型電腦。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,downgrade,v./n.,降級;使降職,They decided to downgrade the software because of compatibility issues.,因相容性問題，他們決定將軟體降級。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,floppy(disk),n.,軟碟,Some older machines still use a floppy disk drive.,有些舊機器仍使用軟碟機。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,hyperlink,n.,超連結,Click the hyperlink to open the registration page.,點擊超連結即可開啟註冊頁面。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,install,v.,安裝;安置,Please install the antivirus program before connecting to the network.,連上網路前請先安裝防毒軟體。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,know-how,n.,技能:專業知識;竅門,Technical know-how is required to maintain the system.,維護這套系統需要技術知識。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,modern (modem),n.,數據機,"The modem stopped working, so we lost our connection.",數據機壞掉了，所以我們斷線。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,omit,v.,忽略;刪除;疏忽,Do not omit any required fields on the online form.,線上表單的必填欄位不要漏填。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,scanner,n.,掃描器,I scanned the signed contract with the scanner.,我用掃描器把已簽署的合約掃描成檔案。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,server,n.,伺服器,The server will be restarted during scheduled maintenance.,伺服器將在例行維護時重新啟動。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,spreadsheet,n.,電子製表軟體;試算表,Please update the spreadsheet with the latest figures.,請把最新數據更新到試算表。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,switch,n./v.,開關:驟變,Flip the switch to turn on the projector.,把開關打開以啟動投影機。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,transmission,n.,傳輸;傳送,There was a problem in data transmission between the two offices.,兩個辦公室之間的資料傳輸出了問題。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,upgrade,v./n.,升級;提升,We need to upgrade the system to support more users.,我們需要升級系統以支援更多使用者。
科技與資訊應用 / Technology & Information Applications,電腦與網路應用 / Computer & Network Applications,virus,n.,濾過性病毒;電腦病毒,The email attachment contained a virus.,那個郵件附件含有病毒。
商務與對外發展 / Business & External Development,商業書信與行銷溝通 / Business Correspondence & Marketing Communication,advertisement,n.,廣告,The company placed an advertisement in the newspaper to promote the new service.,公司在報紙上刊登廣告以宣傳新服務。
商務與對外發展 / Business & External Development,商業書信與行銷溝通 / Business Correspondence & Marketing Communication,appendix,n.,附錄,Please refer to the appendix for the full price list.,完整價目表請參考附錄。
商務與對外發展 / Business & External Development,商業書信與行銷溝通 / Business Correspondence & Marketing Communication,attach,v.,貼上;附上;附加,I will attach the updated proposal to this email.,我會把更新後的提案附在這封信中。
商務與對外發展 / Business & External Development,商業書信與行銷溝通 / Business Correspondence & Marketing Communication,campaign,n./v.,戰役;競選活動;宣傳活動,We’re launching a campaign to increase brand awareness.,我們正在發起一項宣傳活動以提升品牌知名度。
商務與對外發展 / Business & External Development,商業書信與行銷溝通 / Business Correspondence & Marketing Communication,cohesive,adj.,有粘著力的;有結合力的;凝聚性的,The report needs a cohesive structure so it’s easy to follow.,這份報告需要有連貫的架構，閱讀起來才順暢。
