Collocation,Chinese meaning,Meaning,Sentence
defend your decision,為你的決定辯護,To justify or give reasons for a choice you have made.,I don't think we can defend our decision to exclude some of the children from the competition.           
degree of uncertainty,不確定程度,A level of doubt or not knowing.,There's always been a degree of uncertainty surrounding the future of the Madrid office.                          
delete a file,刪除檔案,To get rid of or destroy a computer file.,It is very easy to accidentally delete or erase a file.                                                           
deliriously happy,欣喜若狂,Extremely happy.   Lexicographer's Note:  Deliriously  is strongly associated with  happy  and is not typically used with other feeling words like  glad  or  sad  .,I felt deliriously happy when I heard I'd won the scholarship.               
demanding job,吃力的工作 / 要求很高的工作,"A job that requires a lot of effort, time, and attention.",Being a surgeon is a very demanding job.                                                                 
dense forest,茂密的森林,A thick forest.,The cottage is in some wonderful unspoilt countryside on the edge of a dense forest.                              
deny a rumour / an allegation,否認謠言 / 指控,To publicly state that a rumour or an unproven assertion is false.,The pop star has denied all the rumours about her marriage.                                              
deny charges / an accusation,否認控罪 / 指責,To state that formal claims of wrongdoing against you are not true.,"Despite the evidence against him, the accused denied the charges.                                        "
depleted the ozone layer,耗損臭氧層,To have reduced the amount of ozone in the atmosphere.,We must accept that we have seriously depleted the ozone layer in the last few decades by our selfish actions.    
deprived areas,貧困地區,Places not having the things necessary for a pleasant life.,There are some deprived areas round the city centre with huge social problems.                                    
deprived home,貧困家庭,A home that is poor and lacks necessities for a pleasant life.,If it is a poor one...it can be called a deprived home.                                                           
deprived regions,貧困地區,"Areas where people lack the necessary things for a pleasant life, like money or good living conditions.",Some of the most deprived regions have large populations living on the margins of society.               
desperate need,迫切需要,An extremely urgent and serious need.,Children and adults who live on the streets are in desperate need.                                       
desperately sad,極度悲傷,Extremely sad.,My grandmother died six months ago and I've felt desperately sad and deeply depressed ever since.                 
desperately worried,焦急萬分,Extremely worried.,My friend Beth is desperately worried about her son at the moment.                                                
destroy the countryside,破壞鄉村景觀,To damage the countryside so badly it no longer exists properly.,The local people said that it would destroy the countryside.                                                      
devastating famines,毀滅性的饑荒,Famines causing a lot of damage or destruction.,This has brought devastating famines to some regions.                                                             
devastating famines/floods,毀滅性的饑荒/洪水,Famines or floods that cause a great deal of damage and destruction.,This has brought devastating famines to some regions and equally devastating floods to others.           
develop Alzheimer's disease,罹患阿茲海默症,To start to have the illness.,My grandfather developed Alzheimer's disease and could no longer remember things or recognise people.             
dilapidated building,破舊不堪的建築,A building that is old and in bad condition.,I'd love to move out of my awful one-room flat. It's in such a dilapidated building.                              
disclaim responsibility,推卸責任 / 聲明免責,To formally state that you are not responsible for something.,The hotel disclaims all responsibility for guests' vehicles.                                             
dismal failure,慘敗 / 徹底失敗,A total failure.,Hopes were initially high for the new project but it has proved to be a dismal failure.                           
dispose of,處理掉 / 清除,(Formal) To get rid of.,Never dispose of batteries and similar items by throwing them onto a fire.                                        
dissenting voice,反對的聲音 / 異議,A formal term for a person who disagrees with the majority opinion.,"When the committee voted, there was only one dissenting voice.               "
distinguished scholars,傑出的學者,Respected and admired academics.,Her professors were all distinguished scholars in their fields.              
disturbing the ecological balance,擾亂生態平衡,Upsetting the natural balance of the environment.,"We are disturbing the ecological balance everywhere, as can be seen in the decrease in fish stocks in the oceans. "
do a course,修一門課,To enroll in a series of lessons.,Beth thinks he should do a course in Management.                                                                  
do an essay,寫論文,To write an essay for academic work.,All students have to write an essay/assignment at the end of term.                                                
do business,做生意,To engage in commercial activity.,We're doing a lot of business in Asia these days.                                                                 
do damage,造成損害,To cause harm or injury.,Did the fire do much damage to the factory?                                                              
do homework,做功課,To complete academic work assigned by a teacher to be done outside of class.,I hate doing my homework at the last minute.                                                             
do research,做研究,To carry out academic investigation.,My mother is doing research into the life of a little-known 19th century painter.                                 
do some work,做點工作,To perform some tasks or work.,We'll do some work on our project and then we'll go to the cinema.                                                
do someone a good turn,幫某人一個忙,To do a helpful or kind act for someone.,Scouts and guides are supposed to do someone a good turn every day.                                               
do up an old house,翻修老房子,"To repair, repaint and decorate a house.",Luke and I have always wanted to do up an old house.                                                              
do your best,盡全力,To make the greatest effort possible.,Do you always do your best to be on time when meeting a friend?                                                   
do your duty,盡本分 / 履行職責,To fulfill one's moral or legal obligations.,She's doing her duty.                                                                                    
do your homework,做功課 / (引申)做好準備工作,To complete schoolwork at home.,My son has to do his homework straight after school.                                                              
domestic flights,國內航班,Flights within a country.,Domestic flights are often more expensive than international ones.                                                
dominate the landscape,俯瞰景觀 / 成為景觀中最顯著的部分,To be the most important and visible thing in the landscape.,The castle dominates the landscape for miles around.                                                              
donate money,捐款,To give money to help society in some way.,The business donates a lot of money each year to charity.                                                         
doomed to failure,注定失敗,Certain to fail.,Everyone agrees that the peace talks are doomed to failure.                                                       
download an audiobook,下載有聲書,To copy an audio version of a book from the internet to your device.,You can look up the latest book releases and download an audiobook from the iTunes store.                
download this picture,下載這張圖片,To copy an image from the internet to your computer.,What do I do if I want to download this picture?                                                                  
downright rude,粗魯透頂 / 極其無禮,Extremely rude.,It was downright rude of him to ignore you like that.                        
drafty hall,通風(漏風)的大廳,A hallway where cold air moves in an unpleasant way.,You go into a draughty hall...                                                                           
dramatic improvement,顯著的改善,A very significant and sudden improvement.,This year has seen a dramatic improvement in James's English.                                            
dramatic rise/fall,劇烈的上升/下降,A sudden and considerable increase or decrease.,There was a dramatic rise/fall in the number of students applying to university this year.               
draughty hall,漏風的大廳,A hall with cold air blowing through it.,"You go into a draughty hall, down a chilly corridor and into this really cramped room.                            "
draw up a schedule,擬定時間表,To create a plan or timetable of events.,We need to draw up a schedule for the project's next phase.                  
dream home,夢想家園,A perfect house to live in.,Luke and I have just moved into our dream home.                                                                   
driving rain,傾盆大雨,Rain falling fast and heavily.,Road conditions are difficult because of the driving rain.                                                        
drop a hint,給暗示,To suggest something indirectly.,He's been dropping hints about what he wants for some time.                                                       
drop in the number of,數量下降,(Informal) A decrease in the quantity of something. The more formal equivalent is decline.,There has been a recent drop in the number of new members.                                               
drop out of,退出 / 輟學,(Informal) To withdraw from a course of study.,I withdrew from / dropped out of my university course after a year.                                               
drop the player,將球員剔除(出隊),To remove a player from a sports team.,The manager may decide to drop the player from the team.                                                 
drug abuse,藥物濫用 / 吸毒,The harmful or habitual use of illegal drugs.,"We have had a spate of burglaries in this part of the city, vehicle theft, drug abuse and so on.         "
drum up support,竭力爭取支持,To increase support for something.,He's trying to drum up support for his campaign.                             
dull ache,隱隱作痛,"A persistent, low-level pain.","I'm not in pain, it's just a dull ache in my back tooth.                                                 "
dull thud,沉悶的撞擊聲,"A low, heavy sound of impact.",The book fell to the floor with a dull thud.                                                                      
dying of hunger,餓得要死,(Informal) To be very hungry.,I'm dying of hunger! I've had nothing to eat all day.                                                             
dysfunctional family,功能失調的家庭 / 問題家庭,"A family where members do not behave in a normal, acceptable way.",She comes from a dysfunctional family.                                                                            
e-mail bounces,電子郵件被退回,An email is returned as undeliverable.,"Make sure you enter the right address, or the e-mail will bounce.                                                          "
eager anticipation,殷切期盼,A feeling of great excitement about something that is going to happen.,I have been waiting for this day with eager anticipation.                           
ear-splitting noise,震耳欲聾的噪音,An extremely loud and unpleasant noise.,The construction site was filled with the ear-splitting noise of machinery.                              
ear-splitting/deafening noise,震耳欲聾的噪音,An extremely loud noise.,We heard the ear-splitting/deafening sound/noise of three huge military aircraft passing low over our heads.               
early start,早起出發 / 提早開始,Beginning something early.,Many people have decided to make an early start to the bank holiday weekend.                                               
earn a good salary,賺取高薪,To receive a high level of regular payment for work.,Nowadays Alex earns a very good salary.                                                                  
earn universal condemnation,招致普遍譴責,To receive strong disapproval from everyone.,The country's aggressive behaviour has earned universal condemnation.                                    
ease the pain,減緩疼痛,To make pain less severe.,She had a sharp pain in her side and hoped that a hot bath might ease the pain.                                            
easy listening,輕音樂,Music that is not serious or difficult.,For fans of easy listening and catchy tunes this is all you need.                                                          
easy read,通俗易懂的讀物,A book or article that is not difficult to read or understand.,Detective stories are good for train journeys as they're an easy read.                                   
easy walk,輕鬆的步行路程,A walk that is not long or difficult.,It's an easy walk into town from here.                                                                                     
embark on a career,開始職業生涯,To formally start a career.,This is a high-powered and fulfilling job for anyone wishing to embark on a career in senior management. 
embark upon,著手進行 / 開始,(Formal) To start something.,Mr Trotter embarked upon a detailed explanation of his policies.                                                           
emotional impact,情感衝擊,The effect on someone's feelings.,The emotional impact on children is huge.                                                                                  
emotional involvement,情感投入,The degree of emotional connection.,The emotional involvement of both parties is intense.                                                                      
emotional response,情緒反應,A reaction based on feelings.,It's hard not to give a pure emotional response.                                                                           
emotional wreck,情緒崩潰的人,(Informal) In a bad emotional state.,Jack was an emotional wreck after his girlfriend finished with him.                                                        
end result,最終結果,The final outcome.,I studied hard for a whole month and the end result was that I got a grade 'A' in the exam.                                
end their relationship,結束關係 / 分手,To decide to stop a romantic relationship.,They ended their relationship a year ago.                                                                                  
enforce the law,執法,To make people obey the law.,The police are there to enforce the law.                                                                                   
enhance their performance,提升表現,"To improve the quality of how someone performs, often in sports.",Some sports people so desperately want to win that they take drugs to enhance their performance.         
enlist the help,尋求幫助,To get help from someone.,You need to enlist the help of people to give you advice.                           
enormous amount,巨大的數量,A very large quantity of something.,There was an enormous amount of information to read.                                                     
enrol on a course,註冊課程 / 報名,To register for a course.,He wants to enrol on a course of some sort.                                                                                
enter into an argument,加入爭論,To start an argument.,I'd prefer not to enter into an argument over the war in Collocania.                                                       
enter the web address,輸入網址,To type a website address into a browser.,"OK, just open the search engine or enter the web address and press 'enter'.                                                "
entry requirements,入學要求,The qualifications needed to be accepted into a course or university.,"Eventually, they hope to meet the entry requirements for university.                "
epic proportions,史詩般的規模 / 規模宏大,A very large and significant scale.,The problem of unemployment reached epic proportions.                               
eradicate poverty,根除貧困,To completely get rid of poverty.,"Perhaps we cannot eradicate poverty altogether, but we can certainly alleviate poverty.                                    "
escape poverty,擺脫貧困,To get out of a state of being poor.,Millions of people have succeeded in escaping poverty in the last decade.                                                  
establish a connection,建立連結 / 建立關係,To show a link between two things.,Nathan Peel attempts to establish a connection between mobile phone use and physical damage to users' brains.              
even numbers,偶數,Numbers that can be divided by two.,"2, 4, 6 and 8 are all even numbers.                                                                                        "
everyday language,日常語言,"Common, informal language.",Oral language is often considered to be inferior to written language.                                                      
evoke the atmosphere,營造氣氛,To create a particular feeling or mood.,The author's descriptions successfully evoke the atmosphere of 19th-century London. 
excessive noise,過度的噪音,"Noise that is more than is necessary, normal, or desirable.","Our neighbours really make excessive noise, I think.                                                     "
exchange addresses,交換地址,For two or more people to give each other their contact details.,Let's exchange addresses so we can keep in touch.                                                        
exchange ideas,交換意見,To share thoughts about something.,We exchanged some interesting ideas with our colleagues in the USA.                                                        
excite speculation,引起猜測,A formal way of saying something has caused rumors to circulate.,The minister's sudden resignation has excited speculation about his motives.        
excruciating pain,劇痛 / 難以忍受的痛苦,Extremely intense and severe pain.,I had excruciating pain in my back after the accident.                                                   
exercise greater control,實施更嚴格的控制,To have more influence and power over something.,The new manager wants to exercise greater control over the department's budget.     
exhaust fumes,廢氣,Gases released by vehicles.,Exhaust fumes from millions of vehicles and the burning of fossil fuels are causing irreparable damage to our environment. 
expect a baby,懷孕 / 待產,To be pregnant.,Astrid is expecting a baby.                                                                              
expectant mother,孕婦 / 準媽媽,A woman who is pregnant.,I saw a young expectant mother on the bus this morning.                                                                    
experience pain,感到疼痛,To feel or undergo physical suffering.,He didn't experience much pain after the operation.                                                      
explore different ways,探索不同途徑,To consider various methods or approaches.,You have to explore different ways of approaching the task.                         
express my disappointment,表達我的失望,To show that one is disappointed.,How can I express my disappointment to her without appearing silly or childish?                                            
extended family,大家庭 (含親戚),"A family including grandparents, aunts, uncles, etc.",I grew up in an extended family as my grandparents and a couple of aunts and an uncle...lived with us.                     
face (up to) the facts,面對現實,To accept a difficult reality.,It's time you faced up to the facts; you're not going to be a professional athlete. 
face difficult choices,面臨困難的抉擇,To have to deal with hard decisions.,"Well, we all face difficult choices now and then.                                                                                      "
fail a drugs test,藥檢未過,To be found to have taken illegal performance-enhancing drugs.,This will be discovered when they fail a drugs test.                                                                        
fail miserably,慘敗,To be totally unsuccessful.,Unfortunately the peace talks now seem likely to fail miserably.                                                                       
fail their final exams,期末考不及格,To not pass the final exams.,"Unfortunately, more pupils than ever are said to be failing their final exams.                                                         "
fail to do this,未能做到這點,Not to succeed in doing something.,"It is important in academic writing always to acknowledge your sources. If you fail to do this, you will commit plagiarism. "
fair hair,金髮 / 淺色頭髮,"Light-coloured hair, such as blonde.","...but on my father's side, some have fair hair and some have ginger hair.                                                  "
fair trial,公平審判,A trial that is conducted justly and with procedural regularity.,Everyone has a right to a fair trial.                                                                                                  
fall ill,生病,To become ill.,You would all have gone on a family holiday together if your grandmother hadn't fallen ill.                                            
fall in love,戀愛 / 愛上,To begin to have romantic feelings for someone.,Have you ever fallen in love at first sight?                                                                                
fall madly in love,瘋狂愛上,To fall deeply and intensely in love.,It was love at first sight. They fell madly in love and were married within months.                                                    
fall silent,陷入沈默 / 變得安靜,For a group of people to suddenly stop talking.,Everyone fell silent when they heard the shocking news.                                                                     
falsify records,偽造記錄,To illegally change official documents.,He was caught falsifying records to hide his financial dealings.                    
family gathering,家庭聚會,A social event where a family comes together.,The hotel is the perfect venue for a formal party or a family gathering.            
family-run hotel,家庭經營的旅館,A hotel owned and managed by a family.,"We stayed in a small, family-run hotel.                                                                                                "
fashionable club,時尚俱樂部 / 流行夜店,A popular and stylish nightclub or social club.,The city is known for its nightlife and fashionable clubs.                                                                  
fast cars,跑車 / 快車,Cars designed for high speed.,"The adjective fast collocates with cars, but not with a glance.                                                                        "
fast food,速食,Food that is prepared and served quickly.,We say fast food.                                                                                                                      
fasten your seatbelts,繫好安全帶,To secure the safety belt in a vehicle or plane.,Please fasten your seatbelts.                                                                                                          
fat chance,機會渺茫 / 想得美,An informal way of saying there is very little or no possibility.,A fat chance he has of winning the lottery!                                         
feasible alternatives,可行的替代方案,Realistic and possible options.,There will be many feasible alternatives to consider when planning your trip.       
feel at home,感到自在 / 賓至如歸,To feel comfortable in a new place.,I've lived here almost a year now and I'm really beginning to feel at home.                                                            
feel homesick,想家,To miss one's home and family.,"She left home to go to university, but moving away from her family made her feel homesick.                                             "
feel pain,感到疼痛,To experience physical suffering.,Did you feel any pain during the procedure?                                                                                 
feel their age,感覺老了 / 感到歲月不饒人,"To feel as old as one actually is, often due to physical limitations.",They say they don't feel their age except for the occasional twinge.                
fierce fighting,激戰,Very violent fighting.,He didn't want to go to war but he had no choice. The government were sending troops to the south where they expected fierce fighting. 
fiercely loyal,極其忠誠,Extremely loyal and devoted.,You set high standards for yourself and are fiercely loyal to your friends.                                                 
fiery temper,火爆脾氣,A tendency to get suddenly angry.,"If you say that someone has a fiery temper, you mean that they often get suddenly angry.                                               "
fight a running battle,進行持久戰 / 邊打邊退,A continuous struggle.,The police fought a running battle with football hooligans in the town centre.                                                         
fight for his life,垂死掙扎 / 為生存而戰,To be in a critical medical condition.,The President is fighting for his life tonight in the City hospital after a major operation.                                           
fight poverty,對抗貧困,To take action to reduce or end poverty.,The organization's main goal is to fight poverty in developing nations.                                                     
filled with horror,充滿恐懼,"To be overcome with a strong feeling of fear, shock, or disgust.",I was filled with horror when I read the newspaper report of the explosion.                                                 
film critic,影評人,A person who writes reviews of films.,Most of the film critics said it was a great film.                                                                                     
final draft,定稿,The last version of a piece of writing.,There are often several drafts of an essay before the final draft is submitted.                                                        
find a solution,找到解決方案,To discover a way to solve a problem.,We must work together to find a solution to this complex issue.                                                             
finite number,有限的數字 / 有限數,"A limited, countable number.",There's only a finite number of tickets available for the concert.                  
first draft,初稿,The first version of a piece of writing.,I've done the first draft of my essay.                                                                                                 
first-hand knowledge,第一手知識 / 親身體驗,Knowledge gained through direct experience.,The people with first-hand knowledge of those events are no longer living.          
fitness tracker,健身追蹤器 / 運動手環,"A device that monitors physical activity, heart rate, and sleep.",The latest fitness tracker: FitWatch!                                                                                       
flawless complexion,完美無瑕的膚質,"Perfect, unblemished skin.",Daily application of the cream will leave you with a flawless complexion.           
flick/skim through a book,快速翻閱 / 瀏覽書籍,To look through a book quickly without reading it in detail.,Mona flicked through the book without reading it in detail.                                                                 
floods of tears,淚如雨下,Crying a great deal.,I was in floods of tears. It was such a sad film.                                                                           
flout the rules,無視規則 / 公然違規,A formal way of saying to intentionally break the rules.,He was accused of trying to flout the rules for his own benefit.                    
fly with,搭乘...航空,To travel as a passenger on a specific airline.,I usually fly with Arrow.                                                                                                   
flying visit,短暫拜訪 / 匆匆一訪,A very short visit.,"My old school friend came on a flying visit, which was fun.                         "
follow a path,沿著小徑走 / 遵循路徑,To walk along a path.,Yesterday we followed a path down to the lake.                                                                                         
follow your argument,跟上你的論點 / 理解你的論證,To understand the reasoning or logic of what someone is saying.,You might want to use bullet points to help the audience follow your argument.                                              
food additives,食品添加劑,Substances added to food to improve it.,I can't believe food additives are good for our long-term health.                                                                      
food poisoning,食物中毒,Illness caused by eating contaminated food.,Some people got food poisoning so the authorities closed it down.                                                                      
foot the bill,買單 / 支付帳單,To pay for something.,Choose whatever you like from the menu—the company is footing the bill.             
force for change,改變的力量,A person or group that has a significant impact on promoting change.,Green organizations are an increasingly important force for change in the world.    
form/develop a friendship,建立/發展友誼,To begin and grow a friendship over time.,Audrey formed a lasting friendship with the boy she sat next to at primary school.                                          
formal education,正規教育,"Education received in a school, college, or university.",Her parents have decided to make up for their lack of formal education.             
formulate new theories,構想新理論,"To develop new, detailed ideas or explanations.",Physicists have recently begun to formulate new theories about the universe.        
forward a message,轉發訊息,To send an email you have received to someone else.,When can I forward the message to myself at my home address?                                                                           
fossil fuels,化石燃料,"Fuels like coal or oil, formed from the remains of ancient organisms.",The burning of fossil fuels is causing irreparable damage to our environment.                                               
foul your opponent,對對手犯規,To commit an illegal tackle or action against an opponent in sports.,"If you tackle in an illegal way, you foul your opponent.                                                                    "
four-letter words,髒話,"A common term for swear words, many of which have four letters in English.",Please try to express your feelings without using four-letter words.                
four-storey house,四層樓的房子,A house with four floors.,It's a big old four-storey house.                                                                                                      
fraudulent claims,詐欺性索賠 / 虛假聲稱,"Dishonest requests, often for money from an insurance company or the government.",He made fraudulent claims for travel expenses he never incurred.                    
freak weather conditions,反常的天氣狀況,Very unusual or unexpected weather.,Yesterday freak weather conditions hit the south-west of England.                                                                      
free kick,自由球,"In football, an unchallenged kick of the ball awarded for a foul.",This will lead to the referee blowing his whistle and an opponent taking a penalty or taking a free kick.                   
fresh produce,新鮮農產品,Freshly farmed foods like fruits and vegetables.,"The fresh produce is excellent, and they have a big organic food section.                                                              "
front-page headline,頭版標題,The main story on the front of a newspaper.,The famine in Geura was the front-page headline on every major newspaper last year.                                                    
fulfilling job,有成就感的工作,A job that provides a deep sense of personal satisfaction.,This is a high-powered and fulfilling job for anyone wishing to embark on a career in senior management.                    
full recovery,完全康復,To completely get better after an illness or injury.,She responded well to treatment and made a full recovery.                           
fully aware,完全意識到 / 非常清楚,To know well.,I am fully aware that there are serious problems.                                                                                      
fully booked,訂滿了 / 客滿,"Completely reserved, with no availability.",The hotels near the beach are very popular and get fully booked during the summer.                                                     
fully-fitted kitchen,設備齊全的廚房,A kitchen already equipped with modern appliances.,"Spacious accommodation, fully-fitted kitchen.                                                                                          "
fully-furnished accommodation,附全套家具的住宿,Rented property with all furniture included.,We have a range of fully-furnished accommodation to let.                                                                               
fundamental disagreement,根本分歧,A very serious and basic disagreement.,Jeff and I had a fundamental disagreement over who should be the next Chair of the club.                                               
fundamentally change,根本性的改變,To alter something in a very basic and important way.,The internet has fundamentally changed the way we communicate.                      
gain an advantage,取得優勢,To get into a better or more favourable position than others.,"In the cycle race, Henrik gained an advantage when several of his opponents had punctures. "
gain control,取得控制權,To obtain the power to direct or influence something.,The Socialist Party gained control of the National Assembly.                               
gain recognition,獲得認可,To become acknowledged or praised for one's achievements.,Her paintings gained recognition thanks to a major exhibition in New York.                 
gain respect,贏得尊重,To earn the admiration and esteem of others.,"Every day, the new teacher faces the challenge of gaining the respect of his students. "
gale-force winds,強風 / 烈風,Extremely strong winds.,Gale-force winds caused a lot of damage to property.                                                                                                                                 
gamut of emotions,各種情緒交織 / 情緒起伏,The entire range of emotions.   Lexicographer's Note:  Gamut  collocates very strongly with  emotions  .,"The film takes the viewer through the whole gamut of emotions, from joy to sorrow.     "
gather evidence,蒐集證據,To collect evidence.,"We must first gather evidence, then carry out a detailed study of all the factors that play a part in social conditioning.                                                           "
gather/pick up speed,加速 / 速度加快,To go faster.,"As it left the city, the train gathered/picked up speed and headed north.                                                                                                            "
gauge reaction,評估反應 / 觀察反應,To test the public response to an idea or plan.,The government leaked the story to the press in order to gauge public reaction.        
generally speaking,一般而言,Used to introduce a general statement or opinion.,"Generally speaking, people are aware of the consequences of their actions.             "
generate more business,創造更多生意 / 拓展業務,To create more commercial activity and sales.,The new development should generate more business for local firms.                     
generous benefits,優渥的福利,Good additional compensation apart from salary.,We can offer you job satisfaction and generous benefits.                                                                                                                             
gentle exercise,緩和運動,"Light physical activity, not strenuous.","After surgery, the doctor recommended only gentle exercise.                            "
gentle fields,平緩的田野,"Fields that are peaceful and calm, typically with rolling hills.","It stands in a lovely landscape, surrounded by gentle fields.                              "
gentle landscape,柔和的景色 / 平緩的地形,A landscape with nothing extreme or threatening about it.,At home it's a gentle landscape with open fields.                                                                                                                                    
gentle stroll,悠閒的散步,"A slow, relaxed walk.",We can go for a leisurely stroll around the park later.                                                                                                                              
gentle walk,輕鬆的步行,A slow walk.,It's an easy walk into town from here.                                                                                                                                               
get a degree,獲得學位,To obtain a university degree.,He obtained / was awarded a diploma in Town Planning in 1998.                                                                                                                        
get a grade,取得成績,To receive a mark for academic work.,Her essay received / was given an A-grade.                                                                                                                                           
get a haircut,剪頭髮,To have one's hair cut.,You badly need a haircut!                                                                  
get a qualification,取得資格 / 獲得證書,To acquire an official record of achievement.,You will need to obtain/acquire a qualification in social work.                                                                                                                      
get off on the wrong foot,一開始就不順利 / 出師不利,To begin a relationship or activity badly.,"He seemed to get off on the wrong foot with the publishers, who didn't like him.           "
get to the point,切入正題,To say the most important thing without delay.,Whenever I make a speech I always try to get to the point as quickly as possible.                                                                                                    
gifted children,資優兒童,Children with unusual intelligence or talent.,Her teachers identified her as gifted and put her on a special program.                
give a clue,給提示 / 提供線索,To provide a hint.,"Anyway, give me a clue.                                                                                                                                                              "
give a cry of pain,發出痛苦的叫聲,"To make a sudden, sharp sound due to pain.","Yes, she gave a cry of pain.                                                               "
give a lecture/talk,演講 / 授課,To deliver a lecture.,Professor Parkinson gave a lecture on the American Civil War.                                                                                                                        
give a performance,表演,To perform in front of an audience.,MacRoy gives a sentimental performance of these old love songs.                                                                                                                      
give a straight answer,直接回答,To answer a question directly and honestly.,Politicians rarely seem to give a straight answer.                                     
give an excellent performance,精彩的表演,"To perform exceptionally well in a show, film, or play.","I'm sure that, as always, she would give an excellent performance.                         "
give an impression of,給人...的印象,To create a particular feeling or idea about someone or something.,At work you give the impression of being supremely confident.                              
give credit,給予肯定 / 歸功於,To acknowledge someone's contribution.,We must also give credit to the production's wardrobe department.                                                                                                                    
give feedback,提供回饋,To provide comments and advice on someone's work.,Then the teacher gives us feedback after about a week.                                     
give instructions,下達指令 / 給予指示,To provide directions on how to do something.,I can't find the instruction manual but I can give you a few basic instructions.                                                                                                     
give me a clue,給我個提示,To provide a hint or piece of information to help solve a puzzle.,"Anyway, give me a clue.                                                                    "
give me a phone call,打電話給我,To telephone someone.,Give me a phone call when you get home.                                                    
give me a ring,打電話給我,(Informal) To telephone someone.,Give me a ring when you get home.                                                          
give me her word,她向我保證,To make a promise.,Julia gave me her word that she would be here.                                                                                                                                       
give out (handouts),分發 (講義),"To distribute materials, such as printed documents, to a group.","If you prepare handouts, it's better to give them out at the end.                          "
give the go-ahead,批准 / 同意進行,To give permission for something to proceed.,MINISTER GIVES THE GO-AHEAD TO PLANS                                                       
give way,讓路 / 讓步,To allow other traffic to go first.,You must give way to traffic from the left.                                                                                                                                          
give/grant custody,給予監護權,(Formal) To give the legal right to care for a child.,The judge gave/granted custody to the mother.                                                                                                                                        
glare of the sun,刺眼的陽光,"The very bright, unpleasant light of the sun.",Soon the glare of the sun would make it difficult to see his way across the desert.                                                                                                  
glittering career,輝煌的職業生涯,A highly successful and distinguished professional life.,She ended up with a glittering career on the stage.                                        
glossy magazines,銅版紙雜誌 / 時尚雜誌,"Magazines printed on shiny paper, typically about fashion, celebrity, and lifestyle.","Ever since I was a child, I've loved reading glossy magazines.                         "
glowing reviews,極力讚揚的評論 / 好評如潮,Very positive reviews.,The New York Times gave the film glowing reviews.                                      
GM foods,基因改造食品,Genetically modified foods.,"I think processed foods in general are probably bad for us, not to mention GM foods!       "
