word,pos,meaning,english,chinese
induce,v.,勸誘,Nothing could induce him to come.,沒有什麼能勸他來。
induce,v.,引起,The drug induces sleep.,這種藥引起睡意。
induce,v.,誘導,induce labor in childbirth,在分娩中引產
indulge,v.,沉溺,He indulges in junk food.,他沉溺於垃圾食品。
indulge,v.,縱容,She indulges her children.,她縱容她的孩子。
infer,v.,推斷,I inferred from his words that he was angry.,我從他的話推斷他生氣了。
infer,v.,暗示（少用）,Your statement infers that I am wrong.,你的陳述暗示我錯了。
inherent,adj.,內在的,The risks are inherent in the job.,風險是這份工作本身固有的。
inherent,adj.,天生的,an inherent talent,天生的才能
initial,adj.,最初的,My initial reaction was surprise.,我最初的反應是驚訝。
initial,n.,首字母,His initials are J.P.,他的姓名首字母是J.P.。
initial,v.,簽姓名的首字母,Please initial each page.,請在每一頁簽上姓名首字母。
inspect,v.,檢查,Inspect the car before buying.,買車前檢查一下。
inspect,v.,視察,The general inspected the troops.,將軍視察了部隊。
instance,n.,例子,"For instance,take this case.",例如，拿這個案例來說。
instance,v.,舉例,He instanced the accident as proof.,他舉出這個事故作為證明。
intense,adj.,強烈的,intense heat,強烈的熱度
intense,adj.,緊張的,an intense look,緊張的表情
interest,n.,興趣,He has no interest in music.,他對音樂沒興趣。
interest,n.,利益/關心,It's in your own interest.,這符合你自己的利益。
interest,n.,利息,The bank pays 3% interest.,銀行支付3%利息。
interpret,v.,解釋,How do you interpret this poem?,你如何解釋這首詩？
interpret,v.,口譯,He interpreted for the ambassador.,他為大使擔任口譯。
intimate,adj.,親密的,an intimate friend,一位親密的朋友
intimate,adj.,私密的,intimate details,私密的細節
intimate,v.,暗示,He intimated that something was wrong.,他暗示出了問題。
invade,v.,入侵,The army invaded the country.,軍隊入侵了那個國家。
invade,v.,侵擾,Fans invaded the star's privacy.,粉絲侵犯了明星的隱私。
iron,adj.,堅強的/嚴酷的,He has an iron will.,他有鋼鐵般的意志。
iron,n.,鐵,The gate is made of iron.,大門是鐵做的。
iron,n.,熨斗,She pressed her shirt with an iron.,她用熨斗燙襯衫。
iron,v.,熨燙,He ironed his pants.,他熨燙了他的褲子。
isolate,v.,隔離,The patient was isolated.,病人被隔離了。
isolate,v.,分離,Isolate the variable in the equation.,在方程式中分離出變數。
issue,n.,問題,The issue is complex.,這個問題很複雜。
issue,n.,期號,the latest issue of the magazine,雜誌的最新一期
issue,v.,發布,The government issued a statement.,政府發布了一份聲明。
issue,v.,發出,He issued a warning.,他發出了警告。
jam,n.,果醬,She spread jam on toast.,她在吐司上抹了果醬。
jam,n.,交通堵塞,We were stuck in a traffic jam.,我們遇上了交通堵塞。
jam,v.,塞滿/卡住,The door jammed and wouldn't open.,門卡住了打不開。
jam,v.,擠入,He jammed his clothes into the bag.,他把衣服塞進袋子裡。
jam,v.,干擾（信號）,They jammed the radio signal.,他們干擾了無線電信號。
just,adj.,公正的,He is a just man.,他是個公正的人。
just,adv.,剛剛,I just arrived.,我剛到。
just,adv.,僅僅,It's just a joke.,只是個玩笑。
key,adj.,關鍵的,He played a key role.,他扮演了關鍵角色。
key,n.,鑰匙,I lost my house key.,我弄丟了家裡的鑰匙。
key,n.,音調（音樂）,a song in the key of C,一首C調的歌。
key,v.,用鍵盤輸入,She keyed the data into the computer.,她把數據輸入電腦。
kid,n.,小孩,The kids are playing outside.,孩子們在外面玩耍。
kid,n.,小山羊,The goat fed her kids.,母山羊餵養小羊。
kid,v.,開玩笑,Don't kid me!,別跟我開玩笑！
knee,n.,膝蓋,He fell and scraped his knee.,他摔倒擦傷了膝蓋。
knee,n.,膝蓋形狀的東西,The pipe has a knee.,這根管子有一個彎頭。
knee,v.,用膝蓋頂,He kneed his attacker.,他用膝蓋頂了攻擊者。
land,n.,土地/陸地,We finally reached land.,我們終於到達了陸地。
land,v.,著陸/降落,The plane landed safely.,飛機安全著陸。
land,v.,獲得 (工作/合約),She landed a dream job.,她獲得了一份理想的工作。
last,adj.,最後的,This is my last chance.,這是我最後的機會。
last,adv.,最後地,He spoke last.,他最後發言。
last,v.,持續,The movie lasts two hours.,電影持續兩小時。
lead,n.,領先地位,He took the lead.,他取得了領先。
lead,n.,鉛（金屬）,This pencil contains lead.,這支鉛筆含有鉛。
lead,v.,帶領,She led the team to victory.,她帶領團隊取得勝利。
lead,v.,導致,Smoking can lead to cancer.,吸菸可能導致癌症。
lean,adj.,瘦的,He is tall and lean.,他高而瘦。
lean,adj.,精簡的,The company is lean and efficient.,公司精簡有效率。
lean,v.,傾斜,Lean the ladder against the wall.,把梯子靠在牆上。
lean,v.,依靠/傾向,He leans toward liberal views.,他傾向自由派觀點。
left,adj.,左邊的,Turn left at the corner.,在轉角左轉。
left,n.,左派/左邊,The left supports the policy.,左派支持這項政策。
left,v.,留下/離開（leave過去式）,He left his phone at home.,他把手機留在家裡。
leg,n.,腿,She broke her leg.,她摔斷了腿。
leg,n.,一段旅程/賽程,the last leg of the trip,旅程的最後一段。
leg,n.,家具腿,the leg of a table,桌腿。
letter,adj.,文字上的,He followed the letter of the law.,他嚴格遵守法律條文。
letter,n.,信件,I received a letter today.,我今天收到一封信。
letter,n.,字母,The word has five letters.,這個詞有五個字母。
lie,n.,謊言,That's a lie.,那是個謊言。
lie,v.,躺臥,He lies on the bed.,他躺在床上。
lie,v.,說謊,Don't lie to me.,別對我說謊。
light,adj.,輕的,This bag is very light.,這個袋子很輕。
light,adj.,明亮的,The room is light and airy.,房間明亮通風。
light,n.,光,The light is too bright.,光線太亮了。
light,v.,點燃,He lit a candle.,他點了一根蠟燭。
line,n.,線條/繩索,Draw a straight line.,畫一條直線。
line,n.,行業/領域,What is your line of work?,你從事哪一行？
line,n.,排隊/隊伍,Wait in line for the bus.,排隊等公車。
line,n.,台詞,He forgot his lines on stage.,他在台上忘了台詞。
line,v.,沿著...排成一行,Trees line the river.,樹木沿著河岸排成一列。
lock,n.,鎖,The door has a strong lock.,這扇門有一個牢固的鎖。
lock,n.,一縷頭髮,She cut off a lock of hair.,她剪下了一縷頭髮。
lock,v.,鎖上,Lock the door.,鎖上門。
lock,v.,卡住/僵住,The wheels locked.,輪子卡住了。
lot,n.,許多 (a lot of),I have a lot of work to do.,我有很多工作要做。
lot,n.,(特定用途的) 地塊,This is a parking lot.,這是一個停車場。
lot,n.,命運/份兒,It is my lot in life.,這是我的命運。
lot,n.,拍賣物品/一批,This lot was sold for $500.,這批拍賣品以 500 美元售出。
match,n.,比賽,We won the match.,我們贏了比賽。
match,n.,火柴,He struck a match.,他劃了一根火柴。
match,v.,匹配,These socks don't match.,這些襪子不配對。
matter,n.,事情/問題,It's a personal matter.,這是個人的事情。
matter,n.,物質,Solid matter occupies space.,固體物質佔有空間。
matter,v.,重要,Every vote matters.,每一票都很重要。
mean,adj.,吝嗇的,He is mean with money.,他在錢上很吝嗇。
mean,adj.,刻薄的,She said a mean thing.,她說了刻薄的話。
mean,adj.,平均的,the mean temperature,平均溫度。
mean,n.,平均數,Calculate the mean.,計算平均數。
mean,v.,意思是,What does this word mean?,這個詞是什麼意思？
mean,v.,打算,I didn't mean to hurt you.,我不是故意要傷害你。
meet,n.,運動會/集會,She won the 100m at the track meet.,她在田徑運動會上贏得了 100 公尺冠軍。
meet,v.,見面/遇見,Nice to meet you.,很高興遇見你。
meet,v.,滿足 (需求/條件),We must meet the deadline.,我們必須趕上截止日期。
mine,n.,礦場,He works in a coal mine.,他在煤礦工作。
mine,n.,地雷,The road is full of mines.,路上滿是地雷。
mine,pron.,我的,That book is mine.,那本書是我的。
mine,v.,採礦,They mine gold there.,他們在那裡開採黃金。
minute,adj.,微小的,There are minute differences.,有微小的差異。
minute,n.,分鐘,Wait a minute.,等一分鐘。
minute,n.,會議記錄（複數）,The secretary took the minutes.,秘書做了會議記錄。
Miss,n.,小姐（稱呼）,"Good morning,Miss Smith.","早安,史密斯小姐。"
miss,v.,想念,I miss you.,我想你。
miss,v.,錯過,He missed the bus.,他錯過了公車。
monitor,n.,監視器/螢幕,Check the information on the monitor.,查看顯示器上的信息。
monitor,v.,監控/監測,Scientists monitor the air quality.,科學家監控空氣品質。
mouth,n.,嘴巴,Open your mouth.,張開你的嘴巴。
mouth,n.,河口,the mouth of the river,河口。
mouth,v.,不出聲地說,He mouthed the words silently.,他無聲地用嘴型說出這些字。
nail,n.,指甲,She painted her nails.,她塗了指甲。
nail,n.,釘子,He hammered a nail into the wall.,他把釘子敲進牆裡。
nail,v.,釘住,Nail the board to the wall.,把木板釘在牆上。
nail,v.,成功完成（非正式）,He nailed the test.,他考試考得很好。
nail,v.,抓住（罪犯）,The police nailed the thief.,警察抓住了小偷。
nature,n.,大自然,We must protect the nature.,我們必須保護大自然。
nature,n.,天性/本質,It is in his nature to be kind.,善良是他的本性。
neck,n.,脖子,She wore a necklace around her neck.,她脖子上戴了項鍊。
neck,n.,瓶頸/頸部,the neck of a bottle,瓶頸。
neck,v.,摟脖子親吻（口語）,They were necking in the car.,他們在車裡摟著親熱。
nose,n.,鼻子,His nose is bleeding.,他的鼻子在流血。
nose,v.,小心翼翼地前進,The car nosed into the traffic.,汽車小心翼翼地駛入車流。
nose,v.,窺探,He nosed around the room.,他在房間裡到處窺探。
note,n.,筆記/音符/紙鈔,He took notes during the lecture.,他在講座中做筆記。
note,v.,注意/記錄,Please note that the office is closed.,請注意辦公室已關閉。
notice,n.,通知/佈告,I saw a notice on the wall.,我看到牆上有個佈告。
notice,v.,注意到,Did you notice her new haircut?,你注意到她剪新髮型了嗎？
novel,adj.,新穎的,That's a novel idea.,那是個新穎的想法。
novel,n.,小說,He wrote a novel.,他寫了一本小說。
object,n.,物體,A strange object appeared in the sky.,一個奇怪的物體出現在天空中。
object,n.,目標/目的,The object of the game is to score points.,遊戲的目標是得分。
object,v.,反對,Many people objected to the new law.,許多人反對這項新法律。
obscure,adj.,模糊的,The meaning is obscure.,意思很模糊。
obscure,adj.,不知名的,an obscure poet,一位不知名的詩人
obscure,v.,掩蓋,Fog obscured the view.,霧遮住了視野。
order,n.,順序,Put them in order.,把它們按順序排好。
order,n.,命令,The general gave an order.,將軍下了命令。
order,v.,點餐,I ordered a pizza.,我點了一份披薩。
order,v.,命令,The judge ordered silence.,法官命令肅靜。
palm,n.,手掌,He held the coin in his palm.,他把硬幣握在手掌心。
palm,n.,棕櫚樹,a palm tree,一棵棕櫚樹。
palm,v.,把…藏在手掌中,The magician palmed the card.,魔術師把牌藏在手掌中。
panel,n.,嵌板/面板,He replaced a wooden panel on the wall.,他更換了牆上的一塊木板。
panel,n.,專家小組/評審團,A panel of experts will judge the contest.,專家小組將對比賽進行評審。
panel,n.,儀表板,Check the readings on the control panel.,檢查控制面板上的讀數。
parallel,adj.,平行的,The two lines are parallel.,這兩條線是平行的。
parallel,n.,相似之處/對比,There are parallels between the two cases.,這兩個案例之間有相似之處。
parallel,v.,與...媲美/比得上,Her achievements are paralleled by few.,很少有人能比得上她的成就。
park,n.,公園,Let's go to the park.,我們去公園吧。
park,v.,停車,Where can I park my car?,我在哪裡可以停車？
park,v.,寄放/擱置,Park your bags here.,把你的包寄放在這裡。
patient,adj.,有耐心的,You need to be patient with children.,你對孩子需要有耐心。
patient,n.,病人,The doctor is seeing a patient.,醫生正在看病人。
peak,n.,山峰/頂點,The mountain peak is covered in snow.,山峰被積雪覆蓋。
peak,n.,高峰期,Traffic is heavy during peak hours.,尖峰時段交通繁忙。
peak,v.,達到巔峰,His career peaked in the 1990s.,他的職業生涯在 90 年代達到巔峰。
pen,n.,鋼筆,She writes with a pen.,她用鋼筆寫字。
pen,n.,圍欄/圈,The sheep are in the pen.,羊在圍欄裡。
pen,v.,把…關入圈中,He penned the cattle.,他把牛關進圈裡。
pen,v.,撰寫,He penned a letter.,他寫了一封信。
perspective,n.,觀點/看法,Try to see it from a different perspective.,試著從不同的角度來看。
perspective,n.,透視法,This artist uses perspective perfectly.,這位藝術家完美地運用了透視法。
pick,n.,選擇,Take your pick.,你自己選吧。
pick,n.,鋤頭,a pick and shovel,一把鎬和鏟子。
pick,v.,挑選,Pick a card.,選一張牌。
pick,v.,採摘,pick apples,摘蘋果。
pick,v.,拾起,She picked up the pen.,她撿起筆。
pick,v.,學習（非正式）,He picked up French in Paris.,他在巴黎學會了法文。
pitcher,n.,投手（棒球）,The pitcher threw a fastball.,投手投了一個快速球。
pitcher,n.,水壺/罐子,She filled the pitcher with water.,她往水壺裡裝滿水。
plant,n.,植物,I bought a new house plant.,我買了一盆新的室內植物。
plant,n.,工廠/發電廠,They work at a nuclear power plant.,他們在核能發電廠工作。
plant,v.,種植,We planted some trees in the garden.,我們在花園裡種了一些樹。
plant,v.,安置/埋伏 (監聽器或炸彈),He planted a secret microphone in the room.,他在房間裡安置了一個秘密竊聽器。
play,n.,戲劇,I saw a play on Broadway.,我在百老匯看了一齣戲。
play,n.,比賽中的動作,The rain stopped play.,下雨中斷了比賽。
play,v.,玩耍,Children play in the park.,孩子們在公園玩耍。
play,v.,演奏,He plays the piano.,他彈鋼琴。
play,v.,扮演,She played Hamlet.,她扮演哈姆雷特。
plot,n.,情節,The movie has a confusing plot.,這部電影情節混亂。
plot,n.,陰謀,They uncovered a plot.,他們發現了一個陰謀。
plot,n.,一小塊土地,He bought a plot of land.,他買了一小塊土地。
plot,v.,密謀,They plotted against the government.,他們密謀反對政府。
plot,v.,標繪,Plot the points on a graph.,在圖表上標繪出這些點。
point,n.,尖端/點,The point of a pencil.,鉛筆尖。
point,n.,重點/意義,I don't see the point of this.,我看不出這有什麼意義（重點）。
point,n.,分數/點數,They won by two points.,他們以兩分之差獲勝。
point,v.,指向/指著,Don't point your finger at me.,不要用手指指著我。
pool,n.,游泳池/水池,Let's go for a swim in the pool.,我們去游泳池游泳吧。
pool,n.,(人才/資源) 儲備庫,We have a large pool of talented applicants.,我們有大量的人才儲備。
pool,v.,集中資源/共同負擔,They pooled their savings to buy a car.,他們集資買了一輛車。
present,adj.,現在的,His present job is good.,他目前的工作不錯。
present,n.,禮物,Here is a birthday present.,這是生日禮物。
present,v.,呈現/介紹,May I present my friend?,我可以介紹我的朋友嗎？
preserve,n.,專屬領域,Hunting is a male preserve.,狩獵是男性的專屬領域。
preserve,n.,保護區,a nature preserve,自然保護區
preserve,v.,保護,We must preserve the forest.,我們必須保護森林。
preserve,v.,保存,Fish are preserved in salt.,魚用鹽醃製保存。
press,n.,新聞媒體,The press reported the story.,新聞媒體報導了這個故事。
press,n.,印刷機,The book is off the press.,這本書已下印刷機。
press,v.,按壓,Press the button.,按下按鈕。
press,v.,催促,She pressed him for an answer.,她催促他回答。
principal,adj.,主要的,The principal reason is cost.,主要原因是成本。
principal,n.,校長,The principal greeted the students.,校長向學生問好。
principal,n.,本金（金融）,You will earn interest on the principal.,你將獲得本金的利息。
produce,n.,農產品 (重音在前),You can buy fresh produce here.,你可以在這裡買到新鮮農產品。
produce,v.,生產/製造,They produce cars in this factory.,他們在這間工廠生產汽車。
project,n.,專案/計畫,We are working on a science project.,我們正在進行一個科學專案。
project,v.,投射,The image is projected onto a screen.,影像被投射到螢幕上。
project,v.,預測,The company projects a 10% growth.,公司預測10%的成長。
project,v.,展現（特質）,He projects confidence.,他展現出自信。
propose,v.,提議,I propose a new plan.,我提出一個新計劃。
propose,v.,求婚,He proposed to her last night.,他昨晚向她求婚了。
propose,v.,打算（正式）,We propose to leave at noon.,我們打算中午離開。
punch,n.,拳打,He threw a punch.,他揮了一拳。
punch,n.,打孔機,Use a punch to make a hole.,用打孔機打孔。
punch,n.,潘趣酒（飲料）,They served fruit punch.,他們供應水果潘趣酒。
punch,v.,用拳頭打,He punched the wall.,他用拳頭打牆。
punch,v.,打孔,Punch a hole in the paper.,在紙上打個洞。
race,n.,比賽,He won the 100-meter race.,他贏了100公尺賽跑。
race,n.,種族,People of all races are equal.,所有種族的人都平等。
race,v.,競速,They raced to the finish line.,他們向終點線衝刺。
race,v.,快速運轉,His heart raced with excitement.,他的心因興奮而快速跳動。
range,n.,範圍,The price range is between $10 and $20.,價格範圍在 10 到 20 美元之間。
range,n.,山脈,We hiked across the mountain range.,我們徒步穿越了那座山脈。
range,v.,(在範圍內) 變動,Temperatures range from 15 to 25 degrees.,溫度在 15 到 25 度之間波動。
record,n.,紀錄/唱片,She broke the world record.,她打破了世界紀錄。
record,n.,經歷/履歷,He has a clean driving record.,他有良好的駕駛記錄。
record,v.,記錄/錄音,The meeting was recorded.,會議被記錄/錄音下來了。
refuse,n.,垃圾/廢棄物,The truck collects refuse.,卡車收集垃圾。
refuse,v.,拒絕,She refused to answer.,她拒絕回答。
render,v.,使成為,The shock rendered him speechless.,震驚使他說不出話。
render,v.,提供,The committee will render a decision.,委員會將做出決定。
render,v.,表演,She rendered the song beautifully.,她美妙地演繹了這首歌。
reserve,n.,儲備物,oil reserves,石油儲備
reserve,n.,拘謹,He spoke with reserve.,他說話很拘謹。
reserve,v.,預訂,I reserved a table.,我預訂了一張桌子。
reserve,v.,保留,All rights reserved.,版權所有。
resume,n.,履歷,Please send your resume to us.,請將你的履歷寄給我們。
resume,v.,重新開始,We will resume work after lunch.,我們午餐後將恢復工作。
right,adj.,正確的,You are right.,你是對的。
right,adj.,右邊的,My right foot hurts.,我的右腳痛。
right,adv.,恰好/直接,He sat right next to me.,他就坐在我旁邊。
right,n.,權利,Everyone has rights.,每個人都有權利。
ring,n.,戒指,She wore a gold ring.,她戴著金戒指。
ring,n.,鈴聲,I heard a ring at the door.,我聽到門鈴聲。
ring,v.,打電話,I'll ring you tomorrow.,我明天打給你。
ring,v.,環繞,Fog rings the mountain.,霧環繞著山。
rock,n.,岩石,The road is blocked by rocks.,路被岩石擋住了。
rock,n.,搖滾樂,He loves rock music.,他喜歡搖滾樂。
rock,v.,搖動,She rocked the baby to sleep.,她搖晃寶寶入睡。
round,adj.,圓形的,The table is round.,這張桌子是圓的。
round,n.,一輪/回合,We won the first round of the game.,我們贏了比賽的第一回合。
round,n.,(社交) 一輪飲料,It’s my round to buy drinks.,這一輪飲料該我請客了。
round,n.,(子彈) 一發/一輪,He fired several rounds into the air.,他向空中開了幾槍（幾發子彈）。
round,prep.,圍繞/環繞,They sat round the fire.,他們圍著火堆坐著。
round,v.,繞過/轉過,The car rounded the corner.,汽車轉過轉角。
round,v.,四捨五入 (常用 round up/down),Round 4.8 up to 5.,將 4.8 四捨五入到 5。
ruler,n.,統治者,The king was a wise ruler.,國王是位英明的統治者。
ruler,n.,尺子,Measure the line with a ruler.,用尺子測量這條線。
run,n.,一段期間/系列,The play had a long run.,這齣戲連演了很久。
run,n.,趨勢/走向,the run of events,事件的發展趨勢。
run,v.,跑步,I run every morning.,我每天早上跑步。
run,v.,經營,She runs a small shop.,她經營一家小店。
safe,adj.,安全的,Is it safe to swim here?,在這裡游泳安全嗎？
safe,n.,保險箱,Keep your valuables in the safe.,把你的貴重物品放在保險箱裡。
saw,n.,鋸子,He cut the wood with a saw.,他用鋸子鋸木頭。
saw,v.,鋸開,He sawed the log in half.,他把木頭鋸成兩半。
saw,v.,see的過去式,I saw a movie yesterday.,我昨天看了一部電影。
scale,n.,規模,The damage was on a large scale.,損害規模很大。
scale,n.,刻度,The scale on the map is 1:1000.,地圖上的比例尺是1:1000。
scale,n.,魚鱗,The fish has shiny scales.,這條魚有發亮的鱗片。
scale,v.,攀登,He scaled the wall.,他爬上了牆。
seal,n.,海豹,The seal swam in the ocean.,海豹在海裡游泳。
seal,n.,印章/封條,He put a wax seal on the letter.,他在信上蓋了蠟封。
seal,v.,封閉,Seal the envelope.,封上信封。
seal,v.,確定/保證,The victory sealed their championship.,這場勝利確定了他們的冠軍。
season,n.,季節,Summer is my favorite season.,夏天是我最喜歡的季節。
season,v.,調味,Season the soup with salt.,用鹽給湯調味。
season,v.,使適應,He is a seasoned traveler.,他是位經驗豐富的旅行者。
seat,n.,座位,Please take a seat.,請坐。
seat,v.,可容納,The hall seats 500 people.,這個大廳可容納500人。
seat,v.,使就座,He seated himself near the window.,他在窗邊坐下。
secure,adj.,安全的,The building is secure.,這棟建築很安全。
secure,v.,獲得,He secured a loan.,他獲得了一筆貸款。
secure,v.,繫牢,Secure the rope.,把繩子繫牢。
sentence,n.,句子,Write a sentence.,寫一個句子。
sentence,n.,刑期,He served a five-year sentence.,他服了五年刑期。
sentence,v.,判刑,The judge sentenced him to prison.,法官判他入獄。
serve,v.,服務,She serves customers.,她服務顧客。
serve,v.,供應（食物）,Breakfast is served from 7 AM.,早餐從早上七點開始供應。
serve,v.,擔任,He served as manager.,他擔任經理。
serve,v.,服刑,He served five years in prison.,他在監獄服刑五年。
serve,v.,發球（網球）,It's your turn to serve.,輪到你發球了。
set,n.,一套,a set of tools,一套工具。
set,n.,場景（戲劇/電影）,The movie was filmed on a set.,這部電影在片場拍攝。
set,v.,放置,Set the cup on the table.,把杯子放在桌上。
set,v.,設定,Set the alarm for 7 AM.,把鬧鐘設在早上七點。
set,v.,凝固,The concrete set overnight.,混凝土一夜之間凝固了。
shoulder,n.,肩膀,He carried a bag on his shoulder.,他肩上背了一個袋子。
shoulder,v.,承擔,She shouldered the responsibility.,她承擔了責任。
shoulder,v.,用肩膀推擠,He shouldered his way through.,他用肩膀擠了過去。
sign,n.,跡象/標誌,There is no sign of life.,沒有生命的跡象。
sign,v.,簽名/簽署,Please sign your name here.,請在這裡簽名。
sink,n.,水槽,Wash your hands in the sink.,在水槽裡洗手。
sink,v.,下沉,The ship sank.,船沉了。
sink,v.,下降,His spirits sank.,他的情緒低落。
sink,v.,投入資金,He sank all his money into the business.,他把所有錢都投入了生意。
skip,n.,跳躍,He gave a little skip.,他輕輕一跳。
skip,v.,跳過,She skipped over the details.,她跳過了細節。
skip,v.,跳繩,The children are skipping.,孩子們在跳繩。
skip,v.,不參加,He skipped class.,他翹課了。
solution,n.,解決方法,We need a solution to the problem.,我們需要一個解決問題的方法。
solution,n.,溶液,The salt dissolves in the solution.,鹽溶解在溶液中。
sophisticated,adj.,精密的,sophisticated technology,精密的技術
sophisticated,adj.,世故的,She is sophisticated for her age.,以她的年齡來說她很世故。
sound,adj.,健康的/堅固的,He has a sound mind.,他心智健全。
sound,n.,聲音,I heard a strange sound.,我聽到一個奇怪的聲音。
sound,v.,聽起來,That sounds good.,那聽起來不錯。
sound,v.,測量深度,Sound the ocean floor.,測量海底深度。
spade,n.,黑桃 (撲克牌),The Ace of spades is the highest card.,黑桃 A 是最大的牌。
spade,n.,鏟子/鍬,He used a spade to dig a hole.,他用鏟子挖了一個洞。
spend,v.,花費 (金錢/時間),I spent $50 on this book.,我花了 50 美元買這本書。
spend,v.,消耗/用盡,The force of the storm was spent.,風暴的力量已經耗盡。
spring,n.,春天,I love the flowers in spring.,我喜歡春天的花朵。
spring,n.,彈簧,The spring is broken.,這個彈簧壞了。
spring,n.,泉水,This is a hot spring.,這是個溫泉。
spring,v.,跳躍,The cat sprang onto the table.,貓跳上了桌子。
square,adj.,公正的/直角的,We need a square deal.,我們需要一場公平的交易。
square,n.,正方形,A square has four equal sides.,正方形有四條相等的邊。
square,n.,廣場,Let's meet at the town square.,我們在城鎮廣場見面吧。
square,v.,平方/結清,Four squared is sixteen.,4 的平方是 16。
stable,adj.,穩定的,The patient is in stable condition.,病人情況穩定。
stable,n.,馬廄,The horses are in the stable.,馬在馬廄裡。
stable,v.,把…關進馬廄,They stable their horses there.,他們把馬養在那裡。
staff,n.,全體員工,The staff are very helpful.,員工們非常樂於助人。
staff,n.,棍棒/拐杖,He leaned on his staff.,他倚靠著拐杖。
staff,v.,配備員工,The office is staffed by 10 people.,辦公室配備了10名員工。
stand,n.,攤位,a hot dog stand,一個熱狗攤。
stand,n.,立場,take a stand on an issue,在某議題上表明立場。
stand,v.,站立,Stand by the door.,站在門邊。
stand,v.,忍受,I can't stand the noise.,我無法忍受噪音。
stand,v.,處於某種狀態,He stands accused of lying.,他被指責說謊。
staple,adj.,主要的/基本的,This is a staple feature of the app.,這是該應用程式的主要功能。
staple,n.,訂書釘,Put a staple in these papers.,在這些文件上打個訂書釘。
staple,n.,主食/主要產品,Rice is a staple food in Asia.,稻米是亞洲的主食。
state,n.,州,Texas is a big state.,德州是個大州。
state,n.,狀態,Water in a liquid state.,液態的水。
state,v.,陳述,He stated his opinion.,他陳述了自己的意見。
stem,n.,莖,The rose has a long stem.,這朵玫瑰的莖很長。
stem,v.,起源,The problem stems from a mistake.,問題源於一個錯誤。
stem,v.,阻止,We must stem the tide of fake news.,我們必須阻止假新聞蔓延。
still,adj.,靜止的,The water was still.,水面平靜無波。
still,adv.,仍然,He is still sleeping.,他還在睡覺。
still,conj.,然而,"It's raining; still,I'll go.  ",下雨了，然而我還是會去。
still,n.,靜止照片,stills from a movie,電影的靜止畫面。
stock,n.,股票/股份,The company's stock price rose.,該公司的股價上漲了。
stock,n.,庫存/存貨,We have the item in stock.,我們這件物品有現貨（庫存）。
stock,n.,高湯,Beef stock is used for the soup.,牛肉高湯用來煮湯。
stop,n.,車站,Get off at the next stop.,在下一站下車。
stop,n.,逗留/停留,We made a brief stop in Paris.,我們在巴黎短暫停留。
stop,n.,塞子/阻礙物,Put a stop in the bottle.,給瓶子塞上塞子。
stop,n.,(風琴的) 音栓/音調,He pulled out all the stops.,他使出了渾身解數（原指拉開風琴所有音栓）。
stop,v.,停止/結束,Please stop talking.,請停止說話。
stop,v.,阻擋/攔截,The goalkeeper stopped the ball.,守門員擋住了球。
store,n.,商店,I went to the store.,我去了商店。
store,n.,儲備量,a store of knowledge,知識的儲備。
store,v.,儲存,We store food for winter.,我們儲存食物過冬。
strain,n.,拉傷/壓力,The job is putting a strain on him.,這份工作給他帶來很大壓力。
strain,n.,(病毒) 株/變種,Doctors found a new strain of the virus.,醫生發現了一種新的病毒株。
strain,v.,過濾,Strain the pasta and serve.,將義大利麵過濾掉水後端上桌。
strike,n.,罷工,a nationwide strike,全國性罷工。
strike,n.,打擊（軍事）,an air strike,空襲。
strike,v.,打擊,He struck the table with his fist.,他用拳頭打桌子。
strike,v.,突然想到,An idea struck me.,我突然想到一個主意。
strike,v.,罷工,The workers are striking for higher pay.,工人為加薪而罷工。
subject,adj.,易受...影響的,The flight is subject to delay.,航班可能會延誤。
subject,n.,主題/學科,Math is my favorite subject.,數學是我最喜歡的學科。
subject,v.,使服從/遭受,He was subjected to criticism.,他遭受了批評。
suit,n.,西裝/套裝,He wore a dark suit to the interview.,他穿著深色西裝去面試。
suit,n.,訴訟/法律案件,They filed a law suit against the company.,他們對該公司提起了法律訴訟。
suit,v.,適合/中意,Does this time suit you?,這個時間對你方便（適合）嗎？
summit,n.,山頂/頂峰,We reached the summit at noon.,我們在中午抵達了山頂。
summit,n.,峰會/高層會議,The leaders attended the G20 summit.,各國領導人參加了 G20 峰會。
table,n.,桌子/表格,Please look at the table on page 5.,請看第 5 頁的表格。
table,v.,提交討論 (英),They tabled a new proposal.,他們提交了一項新提案。
table,v.,擱置 (美),The motion was tabled for now.,該動議目前被擱置了。
tap,n.,水龍頭,Turn off the tap.,關掉水龍頭。
tap,n.,輕拍,a gentle tap on the door,輕輕敲門。
tap,v.,輕拍,He tapped me on the shoulder.,他輕拍我的肩膀。
tap,v.,開發/利用,We need to tap new resources.,我們需要開發新資源。
tap,v.,竊聽,The phone was tapped.,電話被竊聽了。
temple,n.,寺廟,There is an ancient temple on the hill.,山上有一座古老的寺廟。
temple,n.,太陽穴,He rubbed his temples because of the headache.,他因為頭痛揉了揉太陽穴。
tender,adj.,溫柔的,She gave him a tender look.,她溫柔地看了他一眼。
tender,adj.,嫩的,The meat is tender.,這肉很嫩。
tender,n.,交通工具（駁船/補給車）,a tank tender,油罐補給車。
tender,v.,提出（正式）,He tendered his resignation.,他提出了辭呈。
thumb,n.,大拇指,He sucked his thumb.,他吸吮大拇指。
