Phrases,Meaning,English Sentence,Chinese Sentence
give up,放棄；交出,He decided to give up smoking.,他決定戒煙。
give way,讓步；倒塌,The bridge gave way under the weight of the truck.,橋在卡車的重量下倒塌了。
give way to,對...讓步,"After years of resistance, the old building had to give way to a skyscraper.",經過多年的抵抗，這座舊建築不得不讓位給一座摩天大樓。
glance at,快速閱讀,She took a quick glance at the clock before the meeting started.,在會議開始前，她快速地瞥了一眼時鐘。
go about,進行；處理,How should we go about solving this problem?,我們應該如何解決這個問題？
go after,追求；追趕,She decided to go after her dreams.,她決定追求她的夢想。
go against,反對；違背,He went against his parents' wishes.,他違背了父母的意願。
go ahead,繼續；進行,You can go ahead with your plan.,你可以繼續你的計劃。
go along,同意；進展,I decided to go along with her idea.,我決定同意她的想法。
go away,離開；消失,Please go away and leave me alone.,請走開，讓我一個人靜一靜。
go back,回去；回到,I want to go back to my hometown.,我想回我的家鄉。
go back and forth,來來回回,They spent hours going back and forth before settling on a price.,他們來回討論了好幾個小時才敲定價格。
go by,經過；遵循,Time goes by so quickly.,時間過得真快。
go down,"被記載,被寫下；落下,西沉",The sun went down behind the mountains.,太陽落在山後。
go for,選擇；攻擊,I think I’ll go for the steak.,我想我要選牛排。
go forward with,進行,"Despite the risks, they decided to go forward with the investment.",儘管有風險，他們仍決定進行這項投資。
go in for,參加；從事,She decided to go in for the singing competition.,她決定參加歌唱比賽。
go into,進入；研究,We need to go into the details of the plan.,我們需要研究計劃的細節。
go live,順利運作,The new website is scheduled to go live at midnight.,新網站定於午夜上線/啟用。
go off,爆炸；響起；離開,The bomb could go off at any moment.,炸彈隨時可能爆炸。
go on,繼續；發生,Please go on with your story.,請繼續講你的故事。
go out,出去；熄滅,The lights went out suddenly.,燈突然熄滅了。
go over,檢討、檢查,Let's go over the main points of the agreement one last time.,讓我們最後一次仔細檢查/複習協議的要點。
go through,經歷；穿過,She had to go through a lot of hardships.,她經歷了許多艱難。
go to extremes,採取極端的手段,She tends to go to extremes when she's passionate about something.,當她對某事充滿熱情時，她往往會走極端。
go to great lengths,竭盡全力;全力以赴,We go to great lengths to make sure you are always comfortable in our hotel.,我們竭盡全力確保您在我們的飯店中總是感到舒適。
go toward,有助於...,A large part of the collected funds will go toward building the new school.,收集到的資金很大一部分將用於建造新學校。
go viral,爆紅 瘋傳,The video went viral within hours of being posted.,這個影片在發布後幾小時內就迅速傳播開來。
go with,搭配；陪伴,This wine goes well with seafood.,這款酒很配海鮮。
go without,沒有⋯也行；省掉,We had to go without lunch to finish the work.,我們不得不省掉午餐來完成工作。
go without saying (that),不用說，顯而易見,It goes without saying that you should apologize.,不言而喻，你應該道歉。
grow into sth,漸漸成為,The child has grown into a confident young adult.,這個孩子已經成長為自信的年輕人。
hand down,傳下；宣布,The tradition has been handed down for generations.,這個傳統已經傳了好幾代。
hand in,繳交；提交,Please hand in your assignment by Friday.,請在星期五前繳交你的作業。
hand out,分發；散發,They handed out leaflets at the event.,他們在活動上分發了傳單。
hand over,移交；交出,He handed over the keys to the new owner.,他把鑰匙交給了新主人。
hang on,等一下,Hang on a second let me go check.,稍等，讓我去檢查一下。
hang out,閒逛；掛出,They like to hang out at the mall.,他們喜歡在商場閒逛。
hang up,掛斷電話；掛起,She hung up before I could reply.,我還沒來得及回答，她就掛斷了電話。
have on,穿著；戴著,What are you going to have on for the party?,你打算穿什麼去派對？
have to do with,與⋯有關,Does this have to do with what we discussed earlier?,這和我們之前討論的有關嗎？
hear from,收到⋯的消息,I haven’t heard from her in weeks.,我好幾週沒收到她的消息了。
hear of,聽說；知道,Have you heard of this new movie?,你聽說過這部新電影嗎？
hint at,暗示,The politician hinted at possible changes to the tax law.,這位政治家暗示了稅法可能會有變化。
hit on,突然想到；碰巧發現,I hit on a great idea while taking a shower.,我在洗澡時突然想到一個好主意。
hit shelves,上市,The latest novel will hit shelves next Tuesday.,這本最新的小說將於下週二上市。
hit the road,出發,It's getting late; we should hit the road before it gets dark.,天色已晚，我們應該在天黑前上路/出發。
hit the store,發售,Shoppers rushed to hit the store on Black Friday.,顧客們在黑色星期五衝進商店/商場。
hold back,阻礙；抑制,She couldn’t hold back her tears.,她無法抑制淚水。
hold in store,存放;等待,"Whatever life holds in store for me I will never forget these words: ""With great power comes great responsibility.""",無論未來有什麼在等著我，我永遠不會忘記這句話：能力越強，責任越大。
hold off on,推遲、延期,We should hold off on making a decision until all the data is in.,在所有數據出爐之前，我們應該暫緩做出決定。
hold on,堅持、維持,Please hold on a moment while I transfer your call.,請稍等一下，我正在為您轉接電話。
hold up,舉起；耽擱,The traffic was held up by an accident.,交通因事故而被耽擱。
hook (sth/sb) up to sth,將...連接到某物,Can you hook the printer up to my computer?,你能把打印機連接到我的電腦上嗎？
impose on,強加於...,The government decided to impose a new tax on luxury goods.,政府決定對奢侈品徵收新稅。
in a bind,為難、處於困境,I'm in a bind because I promised two friends I'd help them both today.,我現在左右為難/處境困難，因為我答應了今天同時幫兩位朋友的忙。
in a row,連續，接連,He won the race three times in a row.,他連續三次贏得了比賽。
in a rush,匆忙,She left quickly because she was in a rush to catch the train.,她匆忙離開，因為她趕著搭火車。
in a search for,尋找,The police officer is in a search for the missing watch.,警察正在尋找遺失的手錶。
in a sense,從某種意義上說,"In a sense, he was right.",在某種意義上，他是對的。
in accordance with,與...一致、符合,All procedures must be followed in accordance with the law.,所有程序都必須依照法律執行。
in association with,和...聯合,The concert was organized in association with a local charity.,這次音樂會是與一家當地慈善機構合作舉辦的。
in brief,簡而言之,"In brief, the meeting was a success.",簡而言之，會議很成功。
in case,萬一,"Take an umbrella, in case it rains later.",帶把傘，以防待會兒下雨。
in case of,如果、在...的情況下,"In case of fire, use the stairs, not the elevator.",如果發生火災，請走樓梯，不要搭電梯。
in case of,以防萬一,She took an umbrella in case of rain.,她帶著傘，以防萬一下雨
in comparison with,和...相比,"In comparison with last year, sales have increased by 20%.",與去年相比，銷售額增長了20%。
in contrast,相反地,Tim is tall. In contrast his brother is short.,Tim個子高。 相反地，他的兄弟很矮。
in debt,負債,The company is deep in debt after the failed expansion.,在擴張失敗後，這家公司負債累累。
in depth,徹底地、深深地,The report analyzed the market trends in depth.,該報告深入地分析了市場趨勢。
in due time,不久後、到時候,"You will receive your promotion in due time, so be patient.",你遲早會得到晉升的，所以請耐心等待。
in favor of,支持、 有利於...  ,The committee voted in favor of the proposal.,委員會投票贊成該提案。
in keeping with,與...一致、符合,The design is in keeping with the traditional style of the building.,該設計與建築物的傳統風格保持一致。
in light of,考慮到...,"In light of the recent findings, we must revise our hypothesis.",鑑於最近的發現，我們必須修改我們的假設。
in line with,與...一致、符合,The new rules are in line with international safety standards.,新規則與國際安全標準一致。
in no time,立刻,He finished the entire marathon in no time because he trained hard.,因為訓練有素，他很快地就完成了整個馬拉松。
in observance of,紀念,The bank will be closed tomorrow in observance of the national holiday.,銀行明天將為慶祝/遵守國定假日而關閉。
in other words,換句話說,“I have to take a bath now” she texted. In other words she doesn’t want to talk to you.,她發訊息說：“我現在必須洗個澡。” 換句話說，她不想和你說話。
in reference to,關於,I am calling in reference to the job advertisement I saw online.,我打電話是關於/提及我在網上看到的招聘廣告。
in regards to,關於,"In regards to your recent application, we have some good news.",關於您最近的申請，我們有一些好消息。
in relation to,關於、和...相關,We need to discuss the project budget in relation to the timeline.,我們需要討論項目預算與時間表的關係。
in response to,回應,The company issued a statement in response to the media criticism.,該公司回應媒體的批評發表了一份聲明。
in shape,健康,He exercises regularly to stay in shape.,他經常運動以保持健康。
in spite of,儘管,"In spite of the bad weather, the outdoor concert went ahead.",儘管/不顧惡劣的天氣，戶外音樂會還是照常舉行了。
in talk with,協議中的,The CEO is currently in talk with potential investors.,執行長目前正與潛在投資者進行談判。
in terms of,就...來說,"In terms of profitability, this quarter was our best ever.",就盈利能力而言，本季度是我們有史以來最好的一次。
in the distance,在遠處,We could see a small house in the distance.,我們能看到遠處有一座小房子。
in the event that,如果、在...的情況下,"In the event that the power goes out, we have emergency lights.",萬一/如果停電，我們有緊急照明。
in the face of sth,面臨(危險、困難的)情形,She remained calm in the face of danger.,面對危險，她保持冷靜。
in the works,正在討論的,A new plan for improving public transportation is in the works.,一項改善公共交通的新計劃正在進行中。
in this regard,在這方面,"Our product is the best; in this regard, our competitors cannot compare.",我們的產品是最好的；在這方面，我們的競爭對手無法與之相比。
in turn,輪流,"The rain created mud, which in turn caused traffic delays.",雨水造成了泥濘，這接著又導致了交通延誤。
in view of,考慮到...,"In view of the economic slowdown, we must cut costs.",考慮到經濟放緩，我們必須削減成本。
indulge in,沈迷於,"After the diet, I decided to indulge in a huge piece of cake.",節食之後，我決定盡情享受一大塊蛋糕。
inflict on,使...遭受,The hurricane inflicted severe damage on the coastal towns.,颶風對沿海城鎮造成了嚴重的破壞。
iron out,解決、消除,We need to meet and iron out the final details of the contract.,我們需要見面並解決合約的最後細節。
join hands (with sb),(與某人)拉起手；(與某人)攜手合作,The two companies decided to join hands in the project.,這兩家公司決定在這個項目上聯手合作。
join with sb (in doing sth),和某人一起參加(某事),We should join with them in their efforts to clean up the park.,我們應該和他們一起努力清理公園。
jot down,匆忙記下,I need to jot down these notes before I forget them.,我需要快速記下這些筆記，以免忘記。
keep A in the loop,持續告知A最新消息,Please keep me in the loop regarding any changes to the project.,關於專案的任何變動，請隨時告知我最新消息。
keep an eye on,照看；留意,Can you keep an eye on my bag while I go to the restroom?,我去洗手間時，你能幫我看一下包嗎？
keep at,堅持；繼續,You need to keep at it if you want to succeed.,如果你想成功，你需要堅持。
keep away,避開；遠離,Keep away from the edge of the cliff.,遠離懸崖邊緣。
keep in touch,保持聯繫,Even though we are far apart we can still keep in touch through emails.,儘管我們相隔遙遠，我們仍然可以通過電子郵件保持聯繫。
keep off,避免;使…不接近,They put up a fence to keep off the dogs.,他們豎起了一個柵欄，以防止狗接近。
keep on,繼續,She kept on working despite the difficulties.,儘管有困難，她還是繼續工作。
keep out,不讓進入,Keep out of the construction area.,不要進入施工區域。
keep sb. posted,持續告知某人最新消息,I'll call you later to keep you posted on the negotiation results.,我晚點會打電話給你，隨時讓你知情談判結果。
keep to,遵守；堅持,You must keep to the rules.,你必須遵守規則。
keep up,跟得上,It's difficult to keep up with the pace of technological change.,要跟上技術變革的步伐是很困難的。
keep up with,跟得上,It's hard to keep up with the latest trends in fashion.,很難跟上最新的時尚潮流。
kick off,開始；開球,The football match will kick off at 3 PM.,足球比賽將在下午3點開始。
knock down,撞倒,They plan to knock down the old factory and build apartments.,他們計劃拆除舊工廠並建造公寓。
knock out,擊倒；淘汰,He was knocked out in the first round of the competition.,他在比賽的第一輪就被淘汰了。
know of,知道；聽說過,Do you know of any good restaurants around here?,你知道這附近有什麼好餐廳嗎？
lay the foundation,奠定基礎,The early research helped to lay the foundation for future scientific discoveries.,早期的研究有助於為未來的科學發現奠定基礎。
lead to,導致,Smoking leads to bad breath and stained teeth.,吸煙會導致口臭和牙齒弄髒。
leave A up to B,把A交給B處理,I'll leave the decision up to the manager.,我會把決定交給經理來處理。
leave A with B,把A交給B處理,Can you leave the keys with the receptionist when you check out?,你退房時能把鑰匙留在接待員那裡嗎？
leave out,遺漏；忽略,You left out the most important part of the story.,你遺漏了故事中最重要的部分。
lecture on,教訓,The professor will lecture on modern history tomorrow.,教授明天將講授現代歷史。
let alone,更不必說,She doesn’t want to chat with you online let alone going out with you.,她不想在線上跟你聊天，更不用說跟你外出了。
let down,辜負；使失望,I promise I won't let you down.,我保證我不會讓你失望。
let in,讓⋯進入,She opened the door to let in some fresh air.,她打開門讓新鮮空氣進來。
let off,放過；寬恕,The judge let him off with a warning.,法官給了他一個警告就放過他了。
let on,洩漏；透露,Don't let on that you know about the surprise party.,不要透露你知道驚喜派對的事情。
let up,減弱；停止,The rain finally let up after three days.,雨下了三天後終於停了。
line up with,一致,His story doesn't line up with the facts presented in the report.,他的說法與報告中提出的事實不一致。
live out sth,實現某事,He wants to live out his days in the countryside.,他想在鄉下度過他的餘生。
live up to,實踐、符合,The new movie didn't live up to the high expectations.,這部新電影沒有達到高度的期望。
live with,承受、忍耐,We had to learn to live with the noise from the nearby construction.,我們必須學會忍受/接受附近施工的噪音。
long before,很久以前,The artist had been making rock and roll music long before it became mainstream.,這位歌手在搖滾樂成為主流之前就已經創作搖滾樂很久了。
look after,照顧,My neighbor agreed to look after my cat while I'm away.,我的鄰居答應在我離開時照顧我的貓。
look after sb,照顧某人,She looks after her younger brother every day after school.,她每天放學後都照顧她的弟弟。
look back on,回顧；回想,She likes to look back on her childhood memories.,她喜歡回顧童年的記憶。
look down on,瞧不起；輕視,It's not right to look down on people from different backgrounds.,瞧不起不同背景的人是不對的。
look down upon,輕視;小看,We tend to subconsciously look down upon people who make less money than us.,我們傾向於下意識地看輕收入比我們低的人。
look for,尋找,She is currently looking for a new apartment near the city center.,她目前正在尋找市中心附近的新公寓。
look forward to V+ing,期待做某事,I am looking forward to meeting you next week.,我期待下週見到你。
look forward to Ving,期待,I am looking forward to starting my new job next month.,我期待下個月開始我的新工作。
look into,調查,The committee will look into the causes of the recent system failure.,委員會將會調查最近系統故障的原因。
look out,小心；注意,Look out for cars when you cross the street.,過馬路時要注意車輛。
look over,檢查,Can you quickly look over my presentation slides for any errors?,你能快速查看/檢查我的簡報投影片有沒有錯誤嗎？
look up,查詢,"If you don't know the meaning of the word, you should look it up in the dictionary.",如果你不知道這個詞的意思，你應該在字典裡查閱它。
look up to,尊敬,Young athletes often look up to their heroes for inspiration.,年輕的運動員經常敬仰他們的偶像以獲得啟發。
lose ground,落後、失去地位,Our competitor began to lose ground in the market after the launch failed.,我們的競爭對手在發布失敗後開始在市場上失勢/喪失優勢。
lose sb's mind,發瘋，精神失常,She lost her mind when she heard the news.,當她聽到這個消息時，她失去了理智。
low on,缺乏,"We're low on milk, so I need to go to the grocery store.",我們的牛奶不足了，所以我需要去雜貨店。
make a point of Ving,特意做...,He makes a point of saying thank you to everyone who helps him.,他特別注意要向每個幫助他的人道謝。
make believe,假裝,He put on a cloak and made believe that he was a superhero.,他披上斗篷，假裝自己是超級英雄。
make do,湊合著用,I have to make do with boxes before I buy a new desk.,在我買新書桌前，我只能先拿紙箱湊合著用
make for,走向；促成,Let's make for the nearest exit.,我們走向最近的出口吧。
make out,辨認出；理解,I can't make out what he's saying.,我聽不懂他在說什麼。
make up,編造；化妝；彌補,She made up a story to explain her absence.,她編了一個故事來解釋她的缺席。
make up for,彌補、補償,He worked extra hours to make up for the time he missed.,他加班工作以彌補他錯過的時間。
make use of,利用,We should make use of the available resources.,我們應該利用現有的資源。
make way for,讓路；為⋯騰出空間,They demolished the old building to make way for a new park.,他們拆除了舊建築，以為新公園讓路。
mark down,降價,The store will mark down the winter coats by 50% next week.,商店將於下週將冬裝大衣降價百分之五十。
meet with,遇到；會見,The proposal met with strong opposition.,這項提議遭到了強烈反對。
mess up,搞砸,I'm afraid I messed up the order and sent the wrong items.,恐怕我搞砸了訂單，寄送了錯誤的物品。
mess with,招惹,You shouldn't mess with the settings on the company computer.,你不應該亂動公司電腦上的設定。
mix up,混合,Have you mixed up the eggs and the sugar yet?,你把雞蛋和糖混合了嗎？
more of,更大程度上的;更多的,She is more of an introvert than an extrovert.,她更像是一個內向的人，而不是一個外向的人。
more than,超過;比…更多,John loves his car more than anything else.,John愛他的汽車勝過任何事物。
narrow A down to B,把A縮減成B,We need to narrow the list of candidates down to three finalists.,我們需要將候選人名單縮小到三名決賽入圍者。
no big deal,沒什麼大不了的,Don't worry about spilling the water; it's no big deal.,別擔心潑到水，沒什麼大不了的。
no wonder,難怪、怪不得,No wonder he's tired; he's been working for 12 hours straight.,難怪他會累，他已經連續工作了12小時。
not for the world,無論如何都不,I wouldn't trade my family for anything not for the world.,我絕不會為了任何事物而交換我的家人。
not to mention,更不用說,"The hotel was cheap and comfortable, not to mention it had free breakfast.",這家飯店便宜又舒適，更不用說它還有免費早餐。
nothing but,只是;只有,They did nothing but argue for two weeks. That's why they couldn't get anything done.,他們什麼都沒做，只是爭吵了兩週。 這就是為什麼他們無法完成任何事情。
object to Ving,反對,I object to making such a major decision without consulting the team.,我反對在沒有諮詢團隊的情況下做出如此重大的決定。
oblige sb. to V,強迫...做...,The contract obliged the company to pay the fine.,這份合約要求該公司支付罰款。
obsess about,對...念念不忘,He tends to obsess about minor details in his work.,他傾向於過分關心/痴迷於工作中的小細節。
of late,最近,"Of late, he has been very quiet and seems worried.",最近，他一直很安靜，看起來很擔心。
off the top of one’s head,不假思索地,I can't remember the exact number off the top of my head.,我不假思索地記不起確切的數字。
on a walk-in basis,不用事先預約,The clinic accepts patients on a walk-in basis every morning.,診所每天早上都接受無需預約的病人。
on behalf of,代表,I am speaking on behalf of the entire team.,我是代表整個團隊發言。
on behalf of sb,作為某人的代表(=on sb's behalf),"On behalf of the entire team, I would like to thank you.",我代表整個團隊，感謝您。
on duty,值班,I can't talk right now; I am on duty until 5 PM.,我現在不能說話，我要值班到下午五點。
on occasion,偶爾,She enjoys a glass of wine on occasion but rarely drinks.,她偶爾會喝一杯葡萄酒，但很少喝酒。
on the contrary,反之,Alice loves the movie “Peninsula”. On the contrary I think it is terrible.,Alice喜歡《屍速列車:感染半島》。 相反地，我認為那部電影很糟糕。
on the spot,當場、立刻,The manager made a decision on the spot without consulting anyone.,經理當場做出了決定，沒有諮詢任何人。
once in a while,偶爾,"We go out for dinner once in a while, but usually we eat at home.",我們偶爾/很少出去吃飯，但通常在家裡吃。
one’s hands are tied,無法幫忙、受到限制,"I'd love to approve your request, but my hands are tied by the budget rules.",我很想批准你的請求，但我無能為力/愛莫能助，受到預算規則的限制。
other than,而不…,The round windows were designed for reasons other than aesthetics.,圓形窗戶的設計並非出於美觀考慮。
ought to,應該，應當,You ought to apologize for your mistake.,你應該為你的錯誤道歉。
out of,在…之外,He threw a party when his parents were out of town.,他趁父母出遠門時開了一個派對。
out of order,故障,The vending machine is out of order and won't accept any coins.,這台自動販賣機故障了，不接受任何硬幣。
out of order,故障,The printer is out of order and needs to be repaired.,印表機故障了，需要修理。
out of the question,不可能的,"Lending him money is out of the question, considering his debt.",考慮到他的債務，借錢給他是不可能的。
owing to,因為;由於,Owing to his health problems John quit his job last month.,由於健康問題，John上個月辭職了。
pack away,收拾、保存,We need to pack away the holiday decorations until next year.,我們需要收起節日裝飾品，直到明年。
pass away,去世,Her grandmother passed away last night.,她的祖母昨晚去世了。
pass by,經過,I pass by that building every day.,我每天經過那棟建築。
pass on,傳達,Please pass on this message to the rest of the team.,請將這個訊息傳達給團隊的其他成員。
pass out,昏倒；分發,He passed out from the heat.,他因高溫昏倒了。
pass up,放棄,You shouldn't pass up this opportunity to work abroad.,你不應該錯過這個到國外工作的機會。
pay attention to,注意,Please pay attention to the instructions.,請注意說明。
perk up,打起精神,She immediately perked up when she heard the good news.,她一聽到好消息，立刻就振作起來/精神起來了。
pick on,欺負；挑選,Stop picking on your little brother.,別再欺負你弟弟了。
pick out,選擇,She asked me to pick out a birthday gift for her sister.,她要我挑選一個生日禮物給她妹妹。
pick up,撿起；接人,Can you pick me up at the airport?,你能到機場接我嗎？
pick up sth,注意、察覺到某事,She picked up some flowers on her way home.,她在回家的路上撿了一些花。
pile up,堆積、累積,The emails quickly began to pile up while I was on vacation.,我度假期間，電子郵件很快就開始堆積起來。
point out,指出,She pointed out the mistake in my report.,她指出了我報告中的錯誤。
pour in,大量湧入,Donations began to pour in after the disaster.,災難發生後，捐款開始湧入。
prohibit from,禁止,The rules prohibit employees from using social media during work hours.,規定禁止員工在工作時間使用社群媒體。
prone to,易於...,The car is prone to overheating on long trips.,這輛車在長途旅行中容易過熱。
pull into,停車,The train began to pull into the station platform.,火車開始駛入車站月台。
pull out,拔出、停車,The investor decided to pull out of the deal at the last minute.,投資者決定在最後一刻退出這筆交易。
put about,散播,Someone is putting about rumors that the company is closing.,有人正在散佈公司即將關閉的謠言。
put aside,撇開；儲存,Let's put aside our differences and work together.,讓我們撇開分歧一起工作。
put away,拋棄、歸位,Please put away your toys before bedtime.,請在睡前收好你的玩具。
put away,收拾;放好,Please put away your toys after you finish playing.,玩完後請收拾好你的玩具。
put back,放回；推遲,Put the book back on the shelf.,把書放回書架上。
put down,批評,It's important never to put down a child's effort.,永遠不要貶低/批評孩子的努力，這一點很重要。
put effort,付出努力,You need to put more effort into your studies.,你需要在你的學業上付出更多努力。
put forth,提出、發表,She put forth a proposal for a new marketing campaign.,她提出了一個新的行銷活動提案。
put foward sth,提出某事，提議某事；將某事提前,She put forward a new proposal at the meeting.,她在會議上提出了一個新方案。
put in service,啟用服務;投入使用,The warranty starts when the car is put in service.,保固期從汽車投入使用起開始。
put into effect,實施,The new safety measures will be put into effect immediately.,新的安全措施將被立即實施/生效。
put off,延期,The meeting has been put off until next week.,會議已被推遲到下週。
put on,穿上；增加,She put on her coat before going out.,她出門前穿上了外套。
put on hold,暫停、保留,We have decided to put the expansion plans on hold until the economy improves.,我們決定暫停擴張計畫，直到經濟好轉。
put out,撲滅、外包,The firemen managed to put out the blaze after two hours.,消防員在兩個小時後成功地撲滅了大火。
put out sth,發行，出版；熄滅，撲滅,Please put out the candles before you leave.,請在離開前熄滅蠟燭。
put sb/sth to shame,使...相形見絀,His performance put everyone else to shame.,他的表現讓其他人相形見絀。
put sth behind sb,將某事拋諸某人腦後,You need to put the past behind you and move on.,你需要把過去放在身後，繼續前行。
put through,接通電話；使⋯經歷,Can you put me through to the manager?,你能幫我接通經理的電話嗎？
put together,製作、編寫,We quickly put together a brief report for the emergency meeting.,我們為緊急會議快速整理/組合了一份簡短的報告。
put up,展示、提出,They decided to put up a notice asking for volunteers.,他們決定張貼一個通知來招募志願者。
put up with,忍受,I can no longer put up with the noise from my upstairs neighbor.,我再也無法忍受樓上鄰居的噪音了。
quite a few,相當多,Quite a few people showed up for the event.,很多人來參加這個活動。
quote from,引用,He chose to quote from Martin Luther King Jr.'s famous speech.,他選擇引用馬丁·路德·金恩二世著名演講的內容。
reach a consensus,達成共識,"After a long discussion, the team finally reached a consensus.",經過長時間的討論，團隊最終達成共識。
reason with,與…講道理,It's impossible to reason with him when he's angry.,當他生氣時，很難與他講理。
rebel against,反抗,The younger generation tends to rebel against outdated traditions.,年輕一代傾向於反抗過時的傳統。
refer to,談到,"When citing, please refer to the page numbers in the bibliography.",引用時，請參考書目中的頁碼。
reflect on,思考,Take a moment to reflect on your accomplishments this year.,花點時間反思你今年的成就。
refrain from,克制,Please refrain from talking during the performance.,請避免/忍住在表演期間交談。
regard as,將…視為,She is regarded as a leader in her field.,她被視為她領域中的領導者。
regardless of,不論、不顧,We will proceed with the plan regardless of the cost.,不顧成本，我們將繼續執行該計劃。
related to,與 … 相關,Most of the popular posts are related to study methods.,大多數熱門貼文與學習方法有關。
rely on,依靠,You can always rely on him to be honest and reliable.,你永遠可以信賴他誠實可靠。
remove from,把…免職,The director decided to remove the controversial scene from the final cut.,導演決定從最終剪輯中移除那個有爭議的場景。
result from,由⋯引起,His success resulted from hard work.,他的成功來自於努力工作。
result in,造成;導致,The dispute between the two countries resulted in war.,兩國之間的爭端導致了戰爭。
ride out sth,安然渡過某事,We need to ride out the storm.,我們需要挺過這場風暴。
ring up,結帳,The cashier will ring up your purchases at the register.,收銀員將在收銀機上記錄/結算您的購買物品。
run a risk (of doing sth),冒(某事的)風險，有(某事的)危險,"If you drive that fast, you run a risk of getting a ticket.",如果你開這麼快，你有可能會被開罰單。
run across,偶然遇到,I ran across an old friend at the mall.,我在商場偶然遇到一個老朋友。
run after,追逐,The dog ran after the ball.,狗追逐著球。
run away,逃跑；離家出走,The teenager ran away from home.,這名少年離家出走了。
run for,競選,She decided to run for mayor in the upcoming election.,她決定競選即將到來的市長選舉。
run into,偶然遇見,I ran into my former boss at the supermarket this morning.,我今天早上在超市偶然遇到了我的前老闆。
run long,長期,The meeting is likely to run long if we don't stick to the agenda.,如果我們不遵循議程，會議很可能會延長。
run out,用盡,We need to buy more sugar because we have run out.,我們需要多買些糖，因為我們用完了。
run out,用完;耗盡,We ran out of milk so we need to buy some more.,我們用完了牛奶，所以我們需要再買一些。
run out of,用完；耗盡,We've run out of milk.,我們的牛奶用完了。
run over,輾過；溢出,She was run over by a car.,她被車輾過。
run through,迅速瀏覽；貫穿,Let's run through the plan one more time.,讓我們再迅速瀏覽一遍計劃。
run up,積欠；迅速增加,He ran up a huge bill at the hotel.,他在酒店積欠了一大筆賬單。
runner-up,亞軍,"He finished the race as the runner-up, just behind the winner.",他以亞軍的身份完成了比賽，僅次於冠軍。
say the word,命令、要求,"I can pick you up anytime, just say the word.",我隨時可以去接你，你只要說一聲/開口就行。
see for oneself,親自看看,You need to see it for yourself to believe it.,你需要親自去看才能相信。
see off,送行,We went to the airport to see him off.,我們去了機場為他送行。
see through,看穿；識破,I can see through his lies.,我能識破他的謊言。
segregate A from B,把A從B隔離,Please segregate the recyclable materials from the regular trash.,請將可回收材料與一般垃圾分開。
send out sth,發出(熱、信號等),The company sent out invitations to the event.,公司發出了活動邀請函。
sentence to,宣判,The judge sentenced the defendant to two years in prison.,法官判處被告兩年徒刑。
serves as,擔任,This old lighthouse now serves as a museum.,這座舊燈塔現在充當一座博物館。
set about,出發 開始,We need to set about planning the next phase of the project immediately.,我們需要立即著手規劃項目的下一階段。
set aside,空出,We should set aside some money for unexpected expenses.,我們應該撥出/留出一些錢應對意外開支。
set back,推遲；使倒退,The project was set back due to bad weather.,項目因為天氣不好而推遲了。
set down,寫下；放下,Please set down your thoughts on paper.,請把你的想法寫在紙上。
set forth,啟程、說明,The company's mission is set forth in the annual report.,公司的使命在年度報告中闡述/提出。
set in,入侵,We moved indoors once the cold weather set in.,天氣開始變冷後，我們就搬到室內了。
set off,動身啟程；觸發；啟動；引發；襯托,They set off on their journey early in the morning.,他們一大早就出發了。
set out,出發 開始,They set out on a challenging journey across the desert.,他們出發進行了一場穿越沙漠的艱難旅程。
set up,建立；設置,They set up a new company.,他們成立了一家新公司。
settle down,安頓；定居,They decided to settle down in the countryside.,他們決定在鄉下安頓下來。
settle on,決定,"After looking at many options, they finally settled on the blue sofa.",在看了很多選擇後，他們最終選定了藍色沙發。
she light on,闡明；揭示,The report sheds light on the company's financial status.,這份報告揭示了公司的財務狀況。
shoot out,射出;噴出,A frog can shoot out its tongue capture an insect and pull it back into its mouth.,青蛙可以伸出舌頭，捕獲昆蟲，然後將其拉回到嘴裡。
show off,炫耀,He likes to show off his new car.,他喜歡炫耀他的新車。
show up,出現;露面,The teacher was surprised when Tim showed up on time for the first time.,當Tim第一次準時出現時，老師感到驚訝。
shut down,關閉；停工,The factory was shut down due to safety concerns.,工廠因安全問題被關閉了。
shut off,關掉；隔絕,Please shut off the lights when you leave.,離開時請關燈。
sit back,悠閒地坐著；袖手旁觀,"Don't just sit back and watch, help us!",不要袖手旁觀，來幫幫我們！
sit down,坐下,Please sit down and make yourself comfortable.,請坐下，隨便點。
slip one’s mind,忘記,"I meant to call you, but it completely slipped my mind.",我本來打算打電話給你，但我完全忘記了。
so far,到目前為止,"So far, we have received fifty applications for the position.",到目前為止，我們已經收到了五十份職位申請。
soak up,吸收,Tourists love to soak up the sun on the beach during summer.,遊客喜歡在夏天去海灘享受陽光。
sort out,整理,We need to sort out the files and organize them alphabetically.,我們需要整理這些文件，並按字母順序排列。
speak up,大聲說；表達意見,You need to speak up during the meeting.,你需要在會議中大聲說出來。
speed up sth,"促進某事的發生,使某事物加速",We need to speed up production to meet the deadline.,我們需要加快生產以趕上最後期限。
spell out,詳細說明；拼出,Can you spell out your requirements?,你能詳細說明你的要求嗎？
stand by,支持；袖手旁觀,She promised to stand by him no matter what.,她承諾無論如何都會支持他。
stand for,代表,"The letters ""WHO"" stand for World Health Organization.",「WHO」這些字母代表世界衛生組織。
