phrase/word,meaning,english sentence,chinese sentence,
it’s the … for me,(俚語) 我最喜歡/討厭的就是... (強調某特點),It's the confidence for me.,我最欣賞的就是他的自信 / 他的自信真是絕了。,
it's the thought that counts,禮輕情意重；心意最重要,"The gift wasn't expensive, but it's the thought that counts.",禮物不貴重，但心意最重要。,
iykyk,"懂得都懂 (If You Know, You Know)",Last night's party was crazy. IYKYK.,昨晚的派對太瘋狂了。懂得都懂。,
jack-of-all-trades,萬事通；樣樣通樣樣鬆,"He's a jack-of-all-trades, master of none.",他是個萬事通，但沒有一樣精通。,
jiggery-pokery,詐欺；暗箱操作；把戲,I suspect there was some jiggery-pokery with the accounts.,我懷疑帳目有些暗箱操作的把戲。,
jog your memory,喚起記憶；提醒,Maybe this photo will help jog your memory.,也許這張照片能幫你喚起記憶。,
join the club,(諷刺) 彼此彼此；我也一樣慘,You failed the test? Join the club.,你考試不及格？彼此彼此,我也一樣)。)
jomo,錯過的快樂 (Joy of Missing Out),I stayed home with a book and felt pure JOMO.,我待在家看書，享受著「錯過的快樂」。,
jump through hoops,過五關斬六將；歷經磨難 (克服繁瑣程序),We had to jump through hoops to get the visa approved.,為了獲得簽證批准，我們費盡周折。,
just the ticket,正是所需的東西；恰到好處,That cold drink was just the ticket on a hot day.,那杯冷飲在熱天裡正是再好不過了。,
keep a lid on it,保守秘密；控制局面 (防止失控),Try to keep a lid on it until we make the official announcement.,在我們正式宣布之前，盡量保守秘密。,
keep someone on their toes,讓人保持警惕；不讓某人鬆懈,The surprise quizzes keep the students on their toes.,突擊測驗讓學生們時刻保持警惕。,
key worker,關鍵崗位員工 (如醫護、警消),Supermarket staff were classified as key workers during the lockdown.,封城期間，超市員工被歸類為關鍵崗位員工。,
kiss something goodbye,跟...說再見 (指失去),You can kiss your bonus goodbye if you're late again.,如果你再遲到，你的獎金就飛了。,
know the score,了解實情；心裡有數,You don't need to explain; I know the score.,你不需要解釋，我心裡有數。,
la-la land,夢幻世界；脫離現實的狀態,He spends half his time in la-la land.,他一半的時間都活在自己的夢幻世界裡。,
laughing all the way to the bank,輕鬆賺大錢；(雖被嘲笑但) 獲利豐厚,"Critics hated the movie, but the director is laughing all the way to the bank.",影評人討厭這部電影，但導演卻賺得盆滿缽滿。,
lay it on thick,吹捧過頭；誇大其詞,He was really laying it on thick to impress the boss.,為了給老闆留下印象，他吹捧得太過頭了。,
leave a bad taste in your mouth,留下不好的回憶；令人作嘔,The way they treated him left a bad taste in my mouth.,他們對待他的方式讓我覺得很噁心/觀感很差。,
left on read,已讀不回,"I texted him yesterday, but I was left on read.",我昨天傳訊息給他，但他已讀不回。,
"left, right, and centre",到處；四面八方,"He was spending money left, right, and centre.",他到處亂花錢。,
let loose,放鬆；盡情釋放,The party is a chance to let loose and have fun.,派對是一個放鬆身心、盡情玩樂的機會。,
let sleeping dogs lie,莫惹是非；過去的事就讓它過去,Don't bring up the old argument; let sleeping dogs lie.,別再提那場舊爭執了，過去的事就讓它過去吧。,
let something slide,不予追究；睜一隻眼閉一隻眼,"I'll let it slide this time, but don't be late again.",這次我不予追究，但別再遲到了。,
let the dust settle,等風波平息；待塵埃落定,We should wait and let the dust settle before making a decision.,我們應該等風波平息後再做決定。,
level up,升級；更上一層樓,You need to level up your skills to get promoted.,你需要提升技能才能獲得晉升。,
light up like a christmas tree,(因開心或興奮) 容光煥發；突然亮起來,Her face lit up like a Christmas tree when she saw the gift.,當她看到禮物時，臉上頓時容光煥發。,
like riding a bike,像騎腳踏車一樣 (學會就不會忘),"I haven't skied in years, but it's like riding a bike.",我好幾年沒滑雪了，但這就像騎腳踏車一樣,一上手就會)。)
listicle,清單式文章 (List + Article),Buzzfeed is famous for its listicles.,Buzzfeed 以其清單式文章聞名。,
lit,(俚語) 很嗨；很酷；很棒,The party last night was lit.,昨晚的派對太嗨了。,
live for something,熱愛；為...而活 (極度喜歡),I live for these weekends away!,我超愛這些週末出遊的時光！,
live rent-free in one's head,揮之不去；讓人念念不忘 (尤指討厭的人事物),That embarrassing moment lives rent-free in my head.,那個尷尬的時刻一直在我腦海中揮之不去。,
living in a bubble,活在同溫層/幻想中；與世隔絕,He has no idea what real life is like; he's living in a bubble.,他根本不知道現實生活是什麼樣子，完全活在自己的世界裡。,
lo and behold,真沒想到；居然 (表示驚訝),"I looked in the box and, lo and behold, the ring was there.",我往盒子裡一看，真沒想到，戒指居然就在那裡。,
lock in,進入專注模式；全神貫注,I need to lock in and finish this assignment tonight.,我今晚必須進入專注模式把這份作業做完。,
lolz,呵呵；好笑 (LOL的變體),I fell over in front of everyone. Lolz.,我在大家面前跌倒了。呵呵。,
long,(俚語) 費勁；麻煩；無聊,I'm not walking all the way there; that's long.,我才不要一路走到那裡，太費勁了。,
looksmaxxing,顏值極大化；變帥特訓,He's been looksmaxxing by going to the gym and changing his diet.,他正透過健身和改變飲食來進行顏值極大化。,
lowkey,(俚語) 低調地；偷偷地；有點,I lowkey want to go home right now.,其實我現在有點想回家。,
main character energy,主角光環；主角氣場,She walked into the party with serious main character energy.,她帶著強烈的主角氣場走進派對。,
make a pig's ear of something,把事情弄得一團糟,He tried to fix the sink but made a pig's ear of it.,他試圖修理水槽，結果弄得一團糟。,
make a rod for your own back,自找麻煩；作法自斃,"By agreeing to work weekends, you've made a rod for your own back.",答應週末工作，你簡直是自找麻煩。,
make a song and dance (about something),小題大作；大驚小怪,Please don't make a song and dance about it; it's a small mistake.,請別為了這點小錯誤大驚小怪。,
makes my skin crawl,讓人起雞皮疙瘩；毛骨悚然,The sound of nails on a chalkboard makes my skin crawl.,指甲刮黑板的聲音讓我起雞皮疙瘩。,
makes your hair stand on end,讓人毛骨悚然；嚇得寒毛直豎,The ghost story made my hair stand on end.,那個鬼故事聽得我毛骨悚然。,
mardy,鬧彆扭的；情緒低落的 (英式口語),Don't be so mardy just because you lost.,別因為輸了就鬧彆扭。,
mental gymnastics,(為辯解而做的) 腦力激盪；曲解邏輯,He performed some serious mental gymnastics to justify his mistake.,他為了合理化自己的錯誤，用了極其牽強的邏輯。,
mic drop,扔麥克風 (象徵精彩發言結束),She finished her speech with a mic drop moment.,她以一個令人折服的「扔麥克風」時刻結束了演講。,
microworker,微工作者 (接單做零碎小任務的人),"As a microworker, he does small data entry tasks online.",作為一名微工作者，他在網上做些資料輸入的零碎任務。,
mid,普普；一般般 (貶義),"The movie wasn't bad, but it was kind of mid.",電影不差，但也普普而已。,
miffed,有點生氣；惱火,She was a bit miffed that she wasn't invited.,她因為沒被邀請而感到有點惱火。,
milk it,榨取價值；博取同情 (裝可憐),He hurt his finger slightly but he's really milking it to get out of work.,他手指受了點輕傷，但他為了不想工作而裝得很嚴重。,
mind your ps and qs,注意禮貌；謹言慎行,You need to mind your Ps and Qs when meeting the Queen.,見女王時你需要注意你的言行舉止。,
moment of truth,關鍵時刻；揭曉時刻,It was the moment of truth when the teacher handed back the exams.,老師發回考卷的那一刻真是關鍵時刻。,
mooch,閒晃；蹭(東西),He loves to mooch around the shopping mall on weekends.,他喜歡週末在購物中心閒晃。,
moonshot,瘋狂的計畫；看似不可能但具野心的項目,The company's latest project is a real moonshot.,這家公司的最新專案真是一個極具野心的大膽計畫。,
moreish,(食物) 讓人想再吃的；吃不膩的,These cookies are very moreish.,這些餅乾好吃得讓人想一片接一片。,
muddle along,得過且過；混日子,We just muddled along without a clear plan.,我們沒有明確的計劃，只是得過且過。,
my bad,我的錯 (口語道歉),"You forgot the tickets. ""My bad.""",「你忘了帶票。」「我的錯。」,
neck of the woods,附近地區；這一帶,"If you're ever in my neck of the woods, come visit.",如果你來我這一帶，記得來找我。,
new normal,新常態,Wearing masks became the new normal.,戴口罩變成了新常態。,
no cap,(俚語) 沒騙你；認真的；不吹牛,"That was the best burger I've ever had, no cap.",那是我吃過最好吃的漢堡，真心不騙。,
no cap / cap,不騙你 (No cap) / 騙人的 (Cap),"That was the best burger I've ever had, no cap.",那是我吃過最好吃的漢堡，真心不騙。,
no fear,沒在怕的；別擔心 (No worries),"Are you scared? ""No fear!""",「你怕嗎？」「沒在怕的！」,
no great shakes,沒什麼了不起；表現平平,"The movie was okay, but no great shakes.",那部電影還行，但沒什麼了不起。,
no ifs or buts,沒有藉口；別討價還價,"Finish your homework, no ifs or buts.",做完你的功課，沒有藉口。,
no leg to stand on,站不住腳；理虧,"Without evidence, you have no leg to stand on in this argument.",沒有證據，你的論點根本站不住腳。,
no picnic,絕非易事；不好受,Living without electricity is no picnic.,沒有電的生活絕非易事。,
no two ways about it,毫無疑問；沒得商量,"It was a difficult decision, no two ways about it.",這是一個艱難的決定，毫無疑問。,
nomophobia,無手機恐懼症 (No Mobile Phone Phobia),She suffers from nomophobia and panics without her phone.,她有无手机恐惧症，沒有手機就會恐慌。,
noob,(俚語) 菜鳥；新手,Don't be such a noob; use the shortcut.,別像個菜鳥一樣，用快捷鍵吧。,
not a patch on something,遠不如；比不上,The remake is not a patch on the original movie.,這部翻拍電影遠不如原版。,
not a sausage,一無所有；毫無消息,We heard not a sausage from them for weeks.,我們好幾個禮拜都沒有他們的任何消息。,
not gonna lie,說實話；不騙你,"Not gonna lie, I'm pretty tired.",說實話，我真的蠻累的。,
not half,非常；極其 (肯定語氣),"Did you enjoy the concert? ""Not half!""",「你喜歡那場演唱會嗎？」「非常喜歡！」,
not like the sound of something,聽起來不妙；不喜歡這消息,I do not like the sound of those dark clouds.,我不喜歡那些烏雲，感覺要變天了。,
not looking too clever,情況不妙；看起來不太好 (指天氣、健康等),The weather is not looking too clever for our picnic.,這天氣看來對我們的野餐不太妙。,
not see hide nor hair,連影子都沒看到；完全沒消息,I haven't seen hide nor hair of him since the party.,自從派對後，我連他的影子都沒看到。,
nothing to shout about,平平無奇；沒什麼值得誇耀的,"The food was okay, but nothing to shout about.",食物還可以，但沒什麼特別的。,
nothingburger,雷聲大雨點小的事；無關緊要的事,The scandal turned out to be a total nothingburger.,那起醜聞結果證明根本是雷聲大雨點小，沒什麼大不了。,
now you're talking,這才像話；這主意不錯,Pizza for dinner? Now you're talking!,晚餐吃披薩？這主意太棒了！,
obvs,(俚語) 顯然 (Obviously 的縮寫),Are you coming? Obvs!,你會來嗎？廢話，當然！,
off base,大錯特錯；毫無根據,Your guess about the price was way off base.,你對價格的猜測完全是大錯特錯。,
off the cuff,即興；隨口說說,He gave a speech off the cuff without any notes.,他在沒有任何筆記的情況下即興發表了演講。,
off the scale,破表；極高 (好或壞),The excitement in the stadium was off the scale.,體育場內的興奮程度簡直破表。,
off the top of my head,憑印象；不假思索地,I can't give you the exact number off the top of my head.,我無法憑印象給你確切的數字。,
on fire,狀態極佳；手感發燙,He scored three goals today; he's on fire!,他今天進了三球，狀態好得不得了！,
on fleek,(俚語) 完美；好看極了 (尤指眉毛、妝容),Her eyebrows are always on fleek.,她的眉毛總是畫得完美無瑕。,
on point,完美的；到位的,Her outfit is always on point.,她的穿搭總是完美到位。,
on the box,在電視上,What's on the box tonight?,今晚電視演什麼？,
on the fly,臨時；即興；邊做邊學,"I didn't have a plan, so I had to make decisions on the fly.",我沒有計畫，所以只能臨時做決定。,
on the go,忙碌中；奔波中,I usually grab breakfast on the go.,我通常在忙碌奔波中隨便吃點早餐。,
on the table,(提案) 被提出；可供討論,The offer is still on the table.,那個提議仍然有效，可供討論。,
onboarding,入職培訓；導入,The onboarding process for new employees takes three days.,新員工的入職培訓過程需要三天。,
one step at a time,一步一步來；循序漸進,Recovering from injury takes time; just take it one step at a time.,傷後復原需要時間，只要一步一步來就好。,
one-up,略勝一籌；把人比下去,He always tries to one-up me with his stories.,他總是試圖用他的故事把我比下去。,
oomph,魄力；精力；勁頭,The soup needs a bit more spice to give it some oomph.,這湯需要多加點香料來提味，讓它更有勁。,
out of order,故障；(行為) 越界/不合規矩,The elevator is out of order.,電梯故障了。 / His behavior was totally out of order.,他的行為完全越界了。)
out of the loop,狀況外；不知情,"I've been on holiday, so I'm completely out of the loop.",我去度假了，所以現在完全在狀況外。,
out of your depth,力不從心；無法駕馭 (能力不及),I felt completely out of my depth in the advanced class.,在進階班裡，我覺得完全力不從心。,
"out with the old, in with the new",舊的不去，新的不來,"It's New Year's Eve: out with the old, in with the new!",除夕夜：舊的不去，新的不來！,
pea-souper,濃霧 (像豌豆湯一樣濃),The flight was cancelled due to a pea-souper.,航班因為濃霧而取消。,
peacocking,招搖過市；像孔雀開屏般炫耀 (尤指吸引異性),He was peacocking at the bar in his flashy suit.,他穿著招搖的西裝在酒吧裡炫耀自己。,
peaks and troughs,高低起伏；峰迴路轉,Every business goes through peaks and troughs.,每個企業都會經歷高低起伏。,
periodt,完畢；就是這樣 (不接受反駁),"I'm not going, and that's on periodt.",我不去，就這樣，沒什麼好說的。,
pet hate,特別討厭的事 (Pet Peeve),People chewing with their mouth open is my pet hate.,張著嘴咀嚼是我最討厭的事。,
ping,發送 (郵件/訊息),Ping me an email later.,晚點發個郵件給我。,
pizzazz,魅力；活力；瀟灑,The dancer performed with great pizzazz.,那位舞者的表演充滿了魅力與活力。,
plan b,備案；B計畫,"If it rains, do we have a Plan B?",如果下雨，我們有備案嗎？,
plastic footprint,塑膠足跡 (個人/企業的塑膠消耗量),We are trying to reduce our plastic footprint by using glass bottles.,我們試著透過使用玻璃瓶來減少塑膠足跡。,
play a blinder,表現極佳 (尤指體育),The goalkeeper played a blinder to save the match.,守門員表現神勇，挽救了比賽。,
pot luck,碰運氣；隨機,"We didn't book a table, so we'll just have to take pot luck.",我們沒訂位，所以只能碰碰運氣了。,
productivity theatre,裝忙；表演性工作,Answering emails late at night is often just productivity theatre.,深夜回郵件通常只是在表演裝忙。,
"promises, promises",說得好聽 (諷刺只說不做),"Promises, promises, she said when he swore he'd change.",當他發誓會改變時，她說：「說得好聽。」,
pull a fast one,欺騙；耍花招,"He tried to pull a fast one on me, but I caught him.",他試圖對我耍花招，但我抓到他了。,
pull the wool over someone's eyes,矇騙某人；欺騙,Don't try to pull the wool over my eyes; I know the truth.,別想矇騙我，我知道真相。,
punch above your weight,越級挑戰；表現超乎預期 (或追到條件比自己好的人),"With that small budget, the film really punched above its weight.",以那麼少的預算，這部電影的表現真是超乎預期。,
push back,推遲；抵制/反對,We received some push back on the new policy.,我們對新政策收到了一些反對意見。,
put the brakes on,喊停；減緩,The government has put the brakes on public spending.,政府已經縮減了公共開支。,
quiet quitting,在職躺平；只做份內事,He decided to try quiet quitting and stopped answering emails after 5 PM.,他決定嘗試「在職躺平」，下午五點後就不再回覆郵件。,
quote ... unquote,所謂的 (用於諷刺或強調詞語),He is a quote expert unquote on the subject.,他可是這個主題上「所謂的」專家。,
rabbit on,喋喋不休；嘮叨,He kept rabbiting on about his new car.,他一直喋喋不休地講他的新車。,
rat race,激烈的商業競爭；無休止的奔波,He quit the corporate rat race to become a farmer.,他退出了激烈的職場競爭，去當了一名農夫。,
read the room,察言觀色；看氣氛,You shouldn't make jokes at a funeral; try to read the room.,你不該在葬禮上開玩笑，試著察言觀色一下。,
rear its head,(問題等) 重新浮現；抬頭,Inflation has begun to rear its ugly head again.,通貨膨脹問題又開始重新浮現。,
reinvent the wheel,多此一舉；做重複的工,We don't need to reinvent the wheel; just use the existing system.,我們不需要多此一舉重新發明輪子，用現有的系統就好。,
rinse repeat,循環往復；一再重複 (指單調的過程),"Wake up, work, sleep, rinse, repeat.",起床、工作、睡覺，日復一日。,
rizz,撩妹/撩漢技巧；魅力 (Charisma),He has unspoken rizz; everyone is naturally drawn to him.,他有一種無形的魅力，大家都會自然地被他吸引。,
roast,吐槽；公開羞辱 (喜劇形式),His friends decided to roast him on his birthday.,他的朋友們決定在他生日那天狠狠吐槽他。,
rope someone in,說服某人參與；拉某人入夥,They roped me into organizing the office party.,他們拉我入夥去籌辦辦公室派對。,
rub it in,在傷口上撒鹽；哪壺不開提哪壺,I know I failed; you don't have to rub it in.,我知道我失敗了，你不用一直提這件事來刺激我。,
run for the hills,逃之夭夭；避之唯恐不及,"When he started talking about marriage, she wanted to run for the hills.",當他開始談論婚姻時，她只想逃之夭夭。,
running on fumes,精疲力竭；耗盡精力 (像車子沒油靠油氣跑),I've been working for 12 hours straight; I'm running on fumes.,我連續工作了12小時，已經精疲力竭了。,
sadfishing,賣慘；(網路) 討拍,Stop sadfishing for likes on Instagram.,別在 Instagram 上發討拍文騙讚了。,
salty,(俚語) 惱羞成怒；酸葡萄；不爽,He was salty because he lost the game.,他因為輸了比賽而感到很不爽。,
savage,(俚語) 犀利；狠毒；狂,That comeback was savage!,那個回嘴真是太犀利了！,
say no more,不必多說 (我都懂了/我會照辦),"Can you help me move this sofa? ""Say no more.""",「你能幫我搬這張沙發嗎？」「沒問題，交給我。」,
scatterbrain,健忘的人；糊塗蟲,I'm such a scatterbrain; I forgot my keys again.,我真是個糊塗蟲，又忘記帶鑰匙了。,
scratch the surface,僅觸及皮毛,We've only scratched the surface of this complex issue.,對於這個複雜的問題，我們只觸及了皮毛。,
scrub up well,打扮後很體面/好看,"He usually wears jeans, but he scrubs up well in a suit.",他平常穿牛仔褲，但穿起西裝來還挺人模人樣的。,
second nature,第二天性；習以為常,Driving has become second nature to me after all these years.,經過這麼多年，開車對我來說已經像呼吸一樣自然。,
second-guess,事後諸葛；質疑 (自己或他人),Stop second-guessing yourself and trust your instincts.,別再自我懷疑了，相信你的直覺。,
serial returner,慣性退貨者 (買了又常退貨的人),Stores are banning serial returners who abuse the return policy.,商店正在禁止那些濫用退貨政策的慣性退貨者。,
sharenting,曬娃 (父母在網上過度分享孩子),She is guilty of sharenting; every detail of her baby's life is online.,她很愛「曬娃」，寶寶生活的所有細節都在網上。,
sheeple,盲從的人；隨波逐流者 (Sheep + People),Don't be sheeple; think for yourself!,別當盲從的羊群，要有自己的想法！,
ship,(網路用語) 嗑 CP；支持某對情侶,I totally ship those two characters in the show.,我完全在嗑那部劇裡的那對 CP。,
shoehorn something in,硬塞；生硬地插入 (話題等),He managed to shoehorn a mention of his new book in the conversation.,他設法在對話中生硬地插入關於他新書的話題。,
shook,(俚語) 震驚；嚇傻,I was absolutely shook when I heard the news.,聽到這個消息時我完全嚇傻了。,
shout-out,(公開) 致意；感謝,I want to give a shout-out to my mom for helping me.,我想向我媽媽致意，感謝她的幫忙。,
shrinkflation,縮水式通膨 (價格不變但份量變少),"Because of shrinkflation, this chocolate bar is much smaller now.",因為縮水式通膨，這條巧克力現在變小了很多。,
sigma,孤狼；獨行俠 (指獨立自主的強者),He considers himself a sigma male who doesn't follow the crowd.,他自認為是個不隨波逐流的孤狼型強者。,
sitting pretty,處於優勢；生活優渥,"With his new promotion, he's sitting pretty.",隨著新的晉升，他現在處境非常優越。,
situationship,曖昧關係；友達以上戀人未滿,"We've been in a situationship for months, but we're not officially dating.",我們處於曖昧關係好幾個月了，但還沒正式交往。,
skedaddle,(幽默) 趕快溜；逃跑,We'd better skedaddle before it starts raining.,我們最好在下雨前趕快溜。,
skeleton crew,骨幹人員；僅維持運作的最低人力,The office is running on a skeleton crew during the holidays.,假期間辦公室只留守最低限度的人力維持運作。,
skew-whiff,歪斜的；不對勁的,That picture on the wall is a bit skew-whiff.,牆上那幅畫有點歪。,
skibidi,(無意義的填充詞)；搞怪的；壞的,"My little brother keeps saying ""skibidi"" and I have no idea what it means.","我弟一直說 ""skibidi""，我根本不知道那是什麼意思。",
slap-bang,恰好在...中間；猛地,He ran slap-bang into the glass door.,他猛地撞上了玻璃門。,
slay,(俚語) 殺翻全場；表現極好,You looked amazing; you slayed that outfit!,你看起来太棒了，完全駕馭了那套服裝！,
slow tv,慢電視 (長時間、無剪輯的實況節目),Watching a 7-hour train journey on Slow TV is surprisingly relaxing.,在慢電視上看7小時的火車旅程出乎意料地放鬆。,
slow walk,拖延；故意放慢速度 (處理某事),They seem to be slow-walking the negotiation process.,他們似乎在故意拖延談判進程。,
small change,零錢；微不足道的錢,The cost of the meal was small change to him.,這頓飯錢對他來說只是九牛一毛。,
small talk,閒聊；寒暄,I'm not good at small talk at parties.,我不擅長在派對上閒聊寒暄。,
smash it,(俚語) 表現極佳；幹得漂亮,"Good luck on your test, you're going to smash it!",考試祝你好運，你一定會表現得很棒！,
smombie,低頭族 (Smartphone Zombie),Watch out! That smombie is about to walk into a lamp post.,小心！那個低頭族快撞到路燈了。,
snackable,(內容) 輕薄短小的；易於消化的,They create snackable video content for social media.,他們為社群媒體製作易於消化的短影音內容。,
snap up,搶購；迅速抓住 (機會),You should snap up that bargain before it's gone.,你應該趁那個特價品還在時趕快搶購。,
snowflake,玻璃心；脆弱的人 (貶義),Don't be such a snowflake; it was just a joke.,別這麼玻璃心，那只是一個玩笑。,
so done with,受夠了；不想再忍受,I am so done with this cold weather.,我受夠了這寒冷的天氣。,
social media influencer,社群網紅；意見領袖,She works as a social media influencer promoting beauty products.,她的工作是社群網紅，推廣美妝產品。,
soft skills,軟實力 (溝通、社交等能力),Employers value soft skills like teamwork and communication.,雇主重視像團隊合作和溝通這樣的軟實力。,
something to chew on,值得深思的事,His speech gave us something to chew on.,他的演講給了我們一些值得深思的東西。,
sound out,試探；探口風,I'll sound him out to see if he's interested in the job.,我會去探探他的口風，看他對這份工作有沒有興趣。,
speak someone's language,說到心坎裡；投其所好,"When you mentioned pizza, you were speaking my language.",當你提到披薩時，簡直是說到我心坎裡了。,
spill the tea,(俚語) 爆料；講八卦,"Come on, spill the tea! What happened on your date?",快點，爆料一下！你約會發生了什麼事？,
spoiler alert!,劇透預警,Spoiler alert! The hero dies at the end.,劇透預警！主角最後死了。,
steal someone's thunder,搶風頭；搶功勞,I didn't want to announce my news and steal her thunder on her wedding day.,我不想在她的婚禮上宣布我的消息，搶了她的風頭。,
step into the shoes,接替某人的位置；設身處地,It will be hard to step into the shoes of the previous manager.,要接替前任經理的位置將會很困難。,
step on it,開快點；趕快,We're going to be late! Step on it!,我們要遲到了！開快點！,
sticking point,癥結；分歧點,Salary is the main sticking point in the negotiations.,薪資是談判中的主要癥結。,
stir the pot,煽風點火；搞事,He loves to stir the pot by spreading rumors.,他喜歡透過散播謠言來煽風點火。,
stomping ground,老地盤；常去的地方,This park used to be my old stomping ground when I was a kid.,這個公園是我小時候常來的老地盤。,
suck it and see,試試看才知道,"I'm not sure if it will work, but let's suck it and see.",我不確定這有沒有用，但試試看就知道了。,
take one for the team,為了集體利益犧牲自己,"I didn't want to work late, but I took one for the team.",我不想加班，但為了團隊我還是犧牲了。,
take someone under your wing,呵護某人；親自教導某人,The manager took the new intern under her wing.,經理將這位新實習生納入麾下親自指導。,
take something to heart,往心裡去；認真對待 (批評/建議),Don't take his comments to heart; he was just joking.,別把他的評論往心裡去，他只是在開玩笑。,
take the biscuit,真是太過分了；令人無語 (貶義),"I've heard excuses before, but that one takes the biscuit.",我聽過藉口，但這個真是太扯了。,
take the plunge,下定決心；冒險一試,"After years of hesitation, they finally took the plunge and got married.",猶豫多年後，他們終於下定決心結婚了。,
take the rough with the smooth,既來之則安之；逆來順受 (好壞都要接受),"In any job, you have to take the rough with the smooth.",在任何工作中，你都必須接受好的一面和壞的一面。,
take the wheel,掌舵；接手掌控,I'm too tired to drive; can you take the wheel?,我太累了開不動，你能接手掌舵嗎？,
talk shop,聊工作；談公事 (在非工作場合),"We're at a party, let's not talk shop.",我們在派對上，就別聊公事了吧。,
talk the talk,只會說不會做；嘴上功夫了得,"He can talk the talk, but can he walk the walk?",他嘴上說得頭頭是道，但他能付諸實行嗎？,
talk through your hat,胡說八道；信口開河,He doesn't know anything about cars; he's talking through his hat.,他根本不懂車，完全是在胡說八道。,
teething problems,初期困難；創業初期的磨合問題,"The new software had some teething problems, but it works fine now.",這套新軟體初期有些問題，但現在運作正常。,
tell me about it,可不是嗎；我還用你說 (表示深有同感),"Traffic is terrible today. ""Tell me about it, I've been stuck for an hour.""",「今天交通真糟。」「可不是嗎，我已經被卡了一個小時了。」,
telling porkies,撒謊；吹牛 (Porky pies = lies),Are you telling porkies again?,你又在撒謊了嗎？,
thanks a bunch,"(諷刺) 真是謝了；多謝你的""幫忙""",You left the door open? Thanks a bunch.,你把門開著？真是謝了喔。,
that'll be the day,那才怪呢；絕不可能有那天,He buying a round of drinks? That'll be the day!,他會請大家喝酒？絕不可能有那天！,
that'll teach you!,給你一個教訓；活該,You got wet because you didn't bring an umbrella? That'll teach you!,你沒帶傘所以淋濕了？這下得到教訓了吧！,
that's on you,那是你的責任；怪你自己,"If you miss the deadline, that's on you.",如果你錯過了截止日期，那就是你自己的問題。,
the best of both worlds,兩全其美；魚與熊掌兼得,Working part-time gives me the best of both worlds: money and free time.,兼職工作讓我也能兩全其美：既有錢賺又有自由時間。,
the ceo of,(俚語) ...之王；...大師,He is the CEO of arriving late.,他簡直是遲到大王。,
the coast is clear,四下無人；沒有危險,The coast is clear; you can come out now.,四下無人，你現在可以出來了。,
the flip side,反面；另一方面,The flip side of living in the city is the noise.,住在城市的另一面缺點就是噪音。,
the gift that keeps on giving,受益無窮的事物 (有時用於諷刺沒完沒了的麻煩),This subscription is the gift that keeps on giving; I get new content every month.,這個訂閱真是讓人受益無窮，我每個月都能獲得新內容。,
the heat is on,壓力來了；情況緊急,"The deadline is tomorrow, so the heat is on.",截止日期是明天，壓力來了。,
the joke is on you,小丑竟是你自己；自作自受,"You thought you tricked me, but the joke is on you.",你以為你騙到了我，結果小丑竟是你自己。,
the more the merrier,人越多越好；多多益善,"Can I bring a friend? Sure, the more the merrier.",我可以帶朋友來嗎？當然，人越多越熱鬧。,
the name of the game,關鍵；最重要的事,"In this industry, networking is the name of the game.",在這個行業，建立人脈是成功的關鍵。,
the plot thickens,案情/局勢變得撲朔迷離,The plot thickens! We just found a mysterious letter.,案情變得撲朔迷離了！我們剛發現一封神秘信件。,
the royal treatment,貴賓級待遇；盛情款待,"When we visited them, they gave us the royal treatment.",當我們去拜訪他們時，他們給予了我們貴賓級的款待。,
the works,全套；什麼都加,"I'll have a hot dog with the works - mustard, ketchup, and onions.",我要一份加全套配料的熱狗——芥末、番茄醬和洋蔥都要。,
there's nothing to it,很簡單；沒什麼難的,Using this machine is easy; there's nothing to it.,使用這台機器很容易，沒什麼難的。,
thereby hangs a tale,說來話長 (背後有故事),"Why do I have this scar? Ah, thereby hangs a tale.",為什麼我有這道疤？唉，這說來話長。,
thirsty,(俚語) 渴望關注；飢渴 (求讚/求愛),"Posting those photos is a bit thirsty, isn't it?",發那些照片有點太渴望博取關注了吧？,
throw in the towel,認輸；放棄,"After trying for hours, he finally threw in the towel.",嘗試了幾個小時後，他終於認輸放棄了。,
throw one's toys out the pram,(像小孩一樣) 發脾氣；無理取鬧,"When he didn't get his way, he threw his toys out the pram.",當事情不如他意時，他就像小孩一樣亂發脾氣。,
throw shade,(俚語) 含沙射影；暗諷,She was throwing shade at her rival in the interview.,她在訪談中暗諷她的競爭對手。,
tiger mother,虎媽 (嚴格教育子女的母親),Her tiger mother made her practice piano for four hours a day.,她的虎媽逼她每天練四小時鋼琴。,
to be fair,說句公道話；平心而論,"He was late, but to be fair, the traffic was terrible.",他是遲到了，但平心而論，交通真的很糟。,
to blow the cobwebs away,提神醒腦；煥然一新 (通常指外出呼吸新鮮空氣),A walk on the beach will help blow the cobwebs away.,去海灘散散步有助於提神醒腦。,
to cut a long story short,長話短說,"To cut a long story short, we missed the flight.",長話短說，我們錯過了班機。,
to cut your teeth,初試身手；獲得初步經驗,He cut his teeth in journalism working for a local paper.,他在一家地方報社工作，初試身手累積新聞經驗。,
to fight tooth and nail,竭盡全力拚搏,She fought tooth and nail to keep custody of her children.,她為了保有孩子的監護權而竭盡全力拚搏。,
to kick (something) into the long grass,束之高閣；無限期擱置 (問題等),The government decided to kick the proposal into the long grass.,政府決定將該提案無限期擱置。,
